,SongID,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,artist,date,isNew,lastPos,peakPos,rank,title,weeks
12802,JuiceYo Gotti,12802.0,,,,,,Yo Gotti,2018-01-20,0.0,90.0,90.0,100.0,Juice,6.0
12896,Dusk Till DawnZayn Featuring Sia,12896.0,,,,,,Zayn Featuring Sia,2018-01-13,0.0,99.0,44.0,94.0,Dusk Till Dawn,17.0
12967,Eye 2 EyeHuncho Jack Featuring Takeoff,12967.0,,,,,,Huncho Jack Featuring Takeoff,2018-01-06,1.0,0.0,65.0,65.0,Eye 2 Eye,1.0
12970,Modern SlaveryHuncho Jack,12970.0,,,,,,Huncho Jack,2018-01-06,1.0,0.0,68.0,68.0,Modern Slavery,1.0
12971,Thunder/Young Dumb & Broke (Medley)Imagine Dragons + Khalid,12971.0,,,,,,Imagine Dragons + Khalid,2018-01-06,1.0,0.0,69.0,69.0,Thunder/Young Dumb & Broke (Medley),1.0
12973,Black & ChineseHuncho Jack,12973.0,,,,,,Huncho Jack,2018-01-06,1.0,0.0,71.0,71.0,Black & Chinese,1.0
12985,Dubai ShitHuncho Jack Featuring Offset,12985.0,,,,,,Huncho Jack Featuring Offset,2018-01-06,1.0,0.0,83.0,83.0,Dubai Shit,1.0
12989,Huncho JackHuncho Jack,12989.0,,,,,,Huncho Jack,2018-01-06,1.0,0.0,87.0,87.0,Huncho Jack,1.0
12992,Motorcycle PatchesHuncho Jack,12992.0,,,,,,Huncho Jack,2018-01-06,1.0,0.0,90.0,90.0,Motorcycle Patches,1.0
12994,SaintHuncho Jack,12994.0,,,,,,Huncho Jack,2018-01-06,1.0,0.0,92.0,92.0,Saint,1.0
13069,Tennessee RainAddison Agen,13069.0,,,,,,Addison Agen,2018-01-03,1.0,0.0,67.0,67.0,Tennessee Rain,1.0
13071,Wish I Didn't Love YouChloe Kohanski,13071.0,,,,,,Chloe Kohanski,2018-01-03,1.0,0.0,69.0,69.0,Wish I Didn't Love You,1.0
13086,I PrayRed Marlow,13086.0,,,,,,Red Marlow,2018-01-03,1.0,0.0,84.0,84.0,I Pray,1.0
13296,Ask Me How I KnowGarth Brooks,13296.0,,,,,,Garth Brooks,2017-12-23,0.0,71.0,71.0,94.0,Ask Me How I Know,7.0
13297,Bella y SensualRomeo Santos Featuring Nicky Jam & Daddy Yankee,13297.0,,,,,,Romeo Santos Featuring Nicky Jam & Daddy Yankee,2017-12-23,1.0,0.0,95.0,95.0,Bella y Sensual,1.0
13401,Total Eclipse Of The HeartChloe Kohanski,13401.0,,,,,,Chloe Kohanski,2017-12-16,1.0,0.0,99.0,99.0,Total Eclipse Of The Heart,1.0
13481,Awful ThingsLil Peep,13481.0,,,,,,Lil Peep,2017-12-09,1.0,0.0,79.0,79.0,Awful Things,1.0
13552,CrewGoldLink Featuring Brent Faiyaz & Shy Glizzy,13552.0,,,,,,GoldLink Featuring Brent Faiyaz & Shy Glizzy,2017-12-02,0.0,51.0,45.0,50.0,Crew,21.0
13675,My Choppa Hate N****s21 Savage & Metro Boomin,13675.0,,,,,,21 Savage & Metro Boomin,2017-11-25,0.0,94.0,73.0,73.0,My Choppa Hate N****s,2.0
13684,PraySam Smith Featuring Logic,13684.0,,,,,,Sam Smith Featuring Logic,2017-11-25,0.0,0.0,55.0,82.0,Pray,2.0
13798,"Too HottyQuavo, Takeoff & Offset",13798.0,,,,,,"Quavo, Takeoff & Offset",2017-11-18,0.0,99.0,91.0,96.0,Too Hotty,4.0
13902,ThreeFuture & Young Thug,13902.0,,,,,,Future & Young Thug,2017-11-11,1.0,0.0,100.0,100.0,Three,1.0
