,album,artist_ratio,artists,id,name,popularity,preview_url,title_ratio,uri
0,BLAME IT ON BABY,95.0,"DaBaby, Roddy Ricch",7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),100.0,,94.0,spotify:track:7ytR5pFWmSjzHJIeQkgog4
1,After Hours,100.0,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,99.0,,100.0,spotify:track:0VjIjW4GlUZAMYd2vXMi3b
2,Suga,81.0,Megan Thee Stallion,55CHeLEfn5iJ0IIkgaa4si,Savage,86.0,https://p.scdn.co/mp3-preview/c0240762e32d735387bb594760d0d84e44102100?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:55CHeLEfn5iJ0IIkgaa4si
3,Collection One,100.0,SAINt JHN,0easEmosKkPhksg0qidzXo,Roses,74.0,https://p.scdn.co/mp3-preview/61499f5316f873a45469beda341cb4d47332eaaf?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:0easEmosKkPhksg0qidzXo
4,Say So (feat. Nicki Minaj),95.0,"Doja Cat, Nicki Minaj",11VApNQCWLJdzxWrlmwzUa,Say So (feat. Nicki Minaj),85.0,https://p.scdn.co/mp3-preview/d07fbbe4e6c0ce64f63d8b94c1e5cb893cc24a1d?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,92.0,spotify:track:11VApNQCWLJdzxWrlmwzUa
5,Intentions,95.0,"Justin Bieber, Quavo",364dI1bYnvamSnBJ8JcNzN,Intentions,88.0,,100.0,spotify:track:364dI1bYnvamSnBJ8JcNzN
6,Changes,95.0,"Justin Bieber, Quavo",4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),87.0,,95.0,spotify:track:4umIPjkehX1r7uhmGvXiSV
7,Fine Line,100.0,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,95.0,https://p.scdn.co/mp3-preview/0c51b5f7ed852504844feebfb4f4b7f099452662?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6UelLqGlWMcVH1E5c4H7lY
8,Blueberry Faygo,100.0,Lil Mosey,6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,90.0,,100.0,spotify:track:6wJYhPfqk3KGhHRG76WzOh
9,Certified Hitmaker,100.0,Lil Mosey,22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,88.0,,100.0,spotify:track:22LAwLoDA5b4AaGSkg6bKW
10,My Turn (Deluxe),91.0,"Lil Baby, 42 Dugg",6gxKUmycQX7uyMwJcweFjp,We Paid (feat. 42 Dugg),87.0,,93.0,spotify:track:6gxKUmycQX7uyMwJcweFjp
11,Fine Line,100.0,Harry Styles,3jjujdWJ72nww5eGnfs2E7,Adore You,88.0,https://p.scdn.co/mp3-preview/2dbeaa922270b3372d221f09c773a38696aed573?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:3jjujdWJ72nww5eGnfs2E7
12,Rain On Me (with Ariana Grande),94.0,"Lady Gaga, Ariana Grande",24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),93.0,,95.0,spotify:track:24ySl2hOPGCDcxBxFIqWBu
13,Hollywood's Bleeding,100.0,Post Malone,21jGcNKet2qwijlDFuPiPb,Circles,91.0,,100.0,spotify:track:21jGcNKet2qwijlDFuPiPb
14,The Bigger Picture,100.0,Lil Baby,44gRhRi2OhEf7moAUj6MD1,The Bigger Picture,86.0,,100.0,spotify:track:44gRhRi2OhEf7moAUj6MD1
15,The Bigger Picture,100.0,Lil Baby,4sDMiX1n4kfXgJd9nOXGpt,The Bigger Picture,63.0,,100.0,spotify:track:4sDMiX1n4kfXgJd9nOXGpt
16,Don't Start Now,100.0,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,90.0,https://p.scdn.co/mp3-preview/ed151225213380a41e5c4af00ff558e25b5875d1?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg
17,Please Excuse Me For Being Antisocial,100.0,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,The Box,93.0,https://p.scdn.co/mp3-preview/52c74a85b9b187b8f51bfe1c7b19a25f7624161a?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:0nbXyq5TXYPCO7pr3N8S4I
18,GIRL,100.0,Maren Morris,7yFhA2fUsL2oIMWlw5DaHQ,The Bones,77.0,https://p.scdn.co/mp3-preview/7d53fc638000344dc9ab4d419a1b52bc848610ae?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:7yFhA2fUsL2oIMWlw5DaHQ
19,Life Is Good (feat. Drake),92.0,"Future, Drake",5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),88.0,https://p.scdn.co/mp3-preview/79199a9ab949b5803197efb455c224299d7d5949?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,96.0,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc
20,Falling,100.0,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,Falling,89.0,https://p.scdn.co/mp3-preview/dac6a7bd1f1333d17afe8c12b71ee11e3c233efd?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4TnjEaWOeW0eKTKIEvJyCa
21,Break My Heart,100.0,Dua Lipa,1raaNykBg1bDnWENUiglUA,Break My Heart,88.0,https://p.scdn.co/mp3-preview/db7293c1d12874c0b4e604999ef04f05b185e5d9?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:1raaNykBg1bDnWENUiglUA
22,Goldmine,100.0,Gabby Barrett,23T0OX7QOiIUFShSzbJ5Uo,I Hope,75.0,https://p.scdn.co/mp3-preview/41fc0d71737c474bf5eec0fd0f93af115f360d2b?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:23T0OX7QOiIUFShSzbJ5Uo
23,One Margarita,100.0,Luke Bryan,6NhS5LwYbJ6xD7BGvlWRJO,One Margarita,78.0,,100.0,spotify:track:6NhS5LwYbJ6xD7BGvlWRJO
24,Where the Light Is,100.0,Surfaces,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,92.0,,100.0,spotify:track:1Cv1YLb4q0RzL6pybtaMLo
25,"Sunday Best (feeling good, like i should)",100.0,Surfaces,3O7R5wVfbeQdXNOL7yntEB,"Sunday Best (feeling good, like i should)",53.0,,96.0,spotify:track:3O7R5wVfbeQdXNOL7yntEB
26,poems of the past,94.0,"Powfu, beabadoobee",5TEH4r5OBFcKZJBjF4qOxL,death bed (coffee for your head),68.0,https://p.scdn.co/mp3-preview/5bc9716d7c7b66ebe07a641265cd3124f8b9e16c?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,95.0,spotify:track:5TEH4r5OBFcKZJBjF4qOxL
27,Before You Go,100.0,Lewis Capaldi,7ce20yLkzuXXLUhzIDoZih,Before You Go,88.0,,100.0,spotify:track:7ce20yLkzuXXLUhzIDoZih
28,Toosie Slide,100.0,Drake,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,93.0,,100.0,spotify:track:127QTOFJsJQp5LbJbu3A1y
29,SOUTHSIDE,100.0,Sam Hunt,10xuH52YSXHWFwCaF1fsDd,Hard To Forget,75.0,,100.0,spotify:track:10xuH52YSXHWFwCaF1fsDd
30,Girls in the Hood,100.0,Megan Thee Stallion,6WbTTAGKrQtCQvmc5BuYfh,Girls in the Hood,79.0,https://p.scdn.co/mp3-preview/d3fa63b67b6431276e7638d7fa2337b7f89ad2c5?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6WbTTAGKrQtCQvmc5BuYfh
31,Girls in the Hood,100.0,Megan Thee Stallion,3FNFhtTqXxO6pHXLHO63Jl,Girls in the Hood,58.0,https://p.scdn.co/mp3-preview/c1711da44f6ed054e6430ff592d47278ba7df55e?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:3FNFhtTqXxO6pHXLHO63Jl
32,Party Girl,100.0,StaySolidRocky,5RqR4ZCCKJDcBLIn4sih9l,Party Girl,94.0,https://p.scdn.co/mp3-preview/734041c8149469e7b104713d2c5ae209eab54003?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:5RqR4ZCCKJDcBLIn4sih9l
33,Slime & B,94.0,"Chris Brown, Young Thug",1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,88.0,https://p.scdn.co/mp3-preview/cd1e4584425d4be8eae7489d704a36c3166a0065?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:1IIKrJVP1C9N7iPtG6eOsK
34,Savage Love (Laxed - Siren Beat),94.0,"Jawsh 685, Jason Derulo",1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),95.0,https://p.scdn.co/mp3-preview/d709526bcdffa6683f85c9255c2fd4e7871ba04c?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:1xQ6trAsedVPCdbtDAmk0c
35,Savage Love (Laxed - Siren Beat),94.0,"Jawsh 685, Jason Derulo",5T490vvoFNU6psep0NPmxs,Savage Love (Laxed - Siren Beat),87.0,https://p.scdn.co/mp3-preview/8944cb56fb4d0e487f53c39a4cc69f1ed155f67f?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:5T490vvoFNU6psep0NPmxs
36,If I Know Me,100.0,Morgan Wallen,5MwynWK9s4hlyKHqhkNn4A,Chasin' You,81.0,https://p.scdn.co/mp3-preview/315a23892d7b637a14a15b45d411f8d28f604059?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:5MwynWK9s4hlyKHqhkNn4A
37,How You Like That,100.0,BLACKPINK,3vAn0qZzdyuHamcrpkfiX3,How You Like That,89.0,,100.0,spotify:track:3vAn0qZzdyuHamcrpkfiX3
38,Stuck with U,95.0,"Ariana Grande, Justin Bieber",4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),93.0,,96.0,spotify:track:4HBZA5flZLE435QTztThqH
39,Wildcard,100.0,Miranda Lambert,0kPeZAyIhIfeZNrtfjJGDB,Bluebird,76.0,https://p.scdn.co/mp3-preview/1a1a1bb3cdfeeef4adb5c3922ef2b4740b0a33f9?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:0kPeZAyIhIfeZNrtfjJGDB
40,Please Excuse Me For Being Antisocial,95.0,"Roddy Ricch, Mustard",07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),85.0,https://p.scdn.co/mp3-preview/f1897162d24233245eeafa90af45ce969845b29b?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,96.0,spotify:track:07KXEDMj78x68D884wgVEm
41,My Turn,100.0,Lil Baby,7ge7BHazYbVKi8qyZUX1Bm,Emotionally Scarred,82.0,,100.0,spotify:track:7ge7BHazYbVKi8qyZUX1Bm
42,THE SCOTTS,96.0,"THE SCOTTS, Travis Scott, Kid Cudi",39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,93.0,https://p.scdn.co/mp3-preview/36bf1375c8d3f3925556744935f234b5e060e0cc?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:39Yp9wwQiSRIDOvrVg7mbk
43,THE SCOTTS,96.0,"THE SCOTTS, Travis Scott, Kid Cudi",7JSL1X95BlGnDyXAScKolp,THE SCOTTS,71.0,https://p.scdn.co/mp3-preview/56976cf9f8990a51a5b010eb259a57a0e4fa4858?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:7JSL1X95BlGnDyXAScKolp
44,Be Kind (with Halsey),92.0,"Marshmello, Halsey",3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),91.0,,93.0,spotify:track:3Z8FwOEN59mRMxDCtb8N0A
45,Walk Em Down (feat. Roddy Ricch),96.0,"NLE Choppa, Roddy Ricch",4cSSL3YafYjM3yjgFO1vJg,Walk Em Down (feat. Roddy Ricch),88.0,https://p.scdn.co/mp3-preview/06dc9625d973fa2fae9a7565a35fb996011f75b7?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,96.0,spotify:track:4cSSL3YafYjM3yjgFO1vJg
46,Walk Em Down (feat. Roddy Ricch),96.0,"NLE Choppa, Roddy Ricch",4tJSfM7g1FGV4aG5TT95Ja,Walk Em Down (feat. Roddy Ricch),54.0,https://p.scdn.co/mp3-preview/882445296d9d11fdeab20c43a03a38e7367b0521?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,96.0,spotify:track:4tJSfM7g1FGV4aG5TT95Ja
47,STELLA & STEVE,95.0,"BENEE, Gus Dapperton",4nK5YrxbMGZstTLbvj6Gxw,Supalonely,93.0,,100.0,spotify:track:4nK5YrxbMGZstTLbvj6Gxw
48,Memories,100.0,Maroon 5,2b8fOow8UzyDFAE27YhOZM,Memories,90.0,,100.0,spotify:track:2b8fOow8UzyDFAE27YhOZM
49,Fully Loaded: God's Country,83.0,"Blake Shelton, Gwen Stefani",5M8goiFYynmNxhueYW6grR,Nobody But You (Duet with Gwen Stefani),74.0,https://p.scdn.co/mp3-preview/0e127846b81767bf42658ea6922bf04e071ae89f?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,97.0,spotify:track:5M8goiFYynmNxhueYW6grR
50,Meet The Woo,100.0,Pop Smoke,79s5XnCN4TJKTVMSmOx8Ep,Dior,85.0,,100.0,spotify:track:79s5XnCN4TJKTVMSmOx8Ep
51,Die From A Broken Heart,100.0,Maddie & Tae,1kFpL1itkwkdhO6kcmNJra,Die From A Broken Heart,73.0,,100.0,spotify:track:1kFpL1itkwkdhO6kcmNJra
52,The Way It Feels,100.0,Maddie & Tae,3DA4SE262k6rdEtlHteNyq,Die From A Broken Heart,71.0,,100.0,spotify:track:3DA4SE262k6rdEtlHteNyq
53,One Heart To Another,100.0,Maddie & Tae,24nNRmBLHHeGfLS609C0z7,Die From A Broken Heart,57.0,,100.0,spotify:track:24nNRmBLHHeGfLS609C0z7
54,Best Country Of 2019,100.0,Maddie & Tae,280t0U1opx1bNBUp0usCL4,Die From A Broken Heart,31.0,,100.0,spotify:track:280t0U1opx1bNBUp0usCL4
55,Best Country Of The Decade: 2010-2019,100.0,Maddie & Tae,4WjmzlZvOOW7JIzzCkScgy,Die From A Broken Heart,17.0,,100.0,spotify:track:4WjmzlZvOOW7JIzzCkScgy
56,Happy Father's Day Y'all,100.0,Maddie & Tae,7mrZUpKQlB8KCKL71wy7qZ,Die From A Broken Heart,11.0,,100.0,spotify:track:7mrZUpKQlB8KCKL71wy7qZ
57,Sad Country Music,100.0,Maddie & Tae,2zM3Ou31sEfVu4Ku4ITl9b,Die From A Broken Heart,8.0,,100.0,spotify:track:2zM3Ou31sEfVu4Ku4ITl9b
58,hot girl bummer,100.0,blackbear,7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,87.0,,100.0,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku
59,Here And Now,100.0,Kenny Chesney,7qRVyZDt1Caftkk8CQlKtk,Here And Now,72.0,https://p.scdn.co/mp3-preview/64206e3491e3761de88f22243dc643e735cac9c5?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:7qRVyZDt1Caftkk8CQlKtk
60,6-Pack,100.0,Florida Georgia Line,5blHL2xSCGv00fr1DGuvEf,I Love My Country,74.0,,100.0,spotify:track:5blHL2xSCGv00fr1DGuvEf
61,Soundtrack To Summer 2020,100.0,Florida Georgia Line,5XWtxqlb6RlJi4LF3uGxb1,I Love My Country,45.0,,100.0,spotify:track:5XWtxqlb6RlJi4LF3uGxb1
62,Wash Us In The Blood,96.0,"Kanye West, Travis Scott",7mEUjhl6aTztdHCrxoTgBG,Wash Us In The Blood,84.0,,100.0,spotify:track:7mEUjhl6aTztdHCrxoTgBG
63,Hot Pink,95.0,"Doja Cat, Gucci Mane",4EivmOT13NMpNSfTKn9p4s,Like That (feat. Gucci Mane),85.0,https://p.scdn.co/mp3-preview/a3fa1e34dd1b9c96a8070384c86210c98002f667?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,95.0,spotify:track:4EivmOT13NMpNSfTKn9p4s
64,9,100.0,Jason Aldean,4TCc369aRPRubv1m8R1TBG,Got What I Got,76.0,https://p.scdn.co/mp3-preview/7525b91a07fecb01947cbfd16d1760b0541cdf1b?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4TCc369aRPRubv1m8R1TBG
65,What You See Is What You Get,96.0,"Luke Combs, Eric Church",0nGXi46VcQQ56ZJR428MKS,Does To Me (feat. Eric Church),76.0,https://p.scdn.co/mp3-preview/fae647c1021472496f0c175b4659ce8e57c9cb73?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,95.0,spotify:track:0nGXi46VcQQ56ZJR428MKS
66,TROLLZ (with Nicki Minaj),93.0,"6ix9ine, Nicki Minaj",3dVvWnj4D8JGkKvo6Hucso,TROLLZ (with Nicki Minaj),86.0,https://p.scdn.co/mp3-preview/5dbb446f6bb7342d45073c9bb95f43cb2a5d5eec?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,92.0,spotify:track:3dVvWnj4D8JGkKvo6Hucso
67,GOOBA,100.0,6ix9ine,4NhDYoQTYCdWHTvlbGVgwo,GOOBA,92.0,https://p.scdn.co/mp3-preview/0ba4a78b8cd53f81a0b6ed5a547e6f384dd7feb9?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4NhDYoQTYCdWHTvlbGVgwo
68,Seasons Change,100.0,Scotty McCreery,2IuazAsyvbb3fFZb0Uvsmk,In Between,71.0,https://p.scdn.co/mp3-preview/00cb608116bcd6207f37e0758aa61c360ff71ce4?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:2IuazAsyvbb3fFZb0Uvsmk
69,Don't Rush (feat. Headie One),96.0,"Young T & Bugsey, Headie One",0PXukVbYpvz40KcEFKnIw7,Don't Rush (feat. Headie One),80.0,https://p.scdn.co/mp3-preview/e11ba4656428d605276655f67566815543280348?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,95.0,spotify:track:0PXukVbYpvz40KcEFKnIw7
70,Be A Light,96.0,"Thomas Rhett, Reba McEntire, Hillary Scott, Chris Tomlin, Keith Urban",5o6dFqafETxZNqUFt9ZqAC,Be A Light,74.0,,100.0,spotify:track:5o6dFqafETxZNqUFt9ZqAC
71,P*$$Y Fairy (OTW),90.0,Jhené Aiko,48KXAIruJ07kJVCWOGohMV,P*$$Y Fairy (OTW),74.0,,100.0,spotify:track:48KXAIruJ07kJVCWOGohMV
72,Chilombo (Deluxe),90.0,Jhené Aiko,4NFbgFSI3FmS0zlbvtRdv6,P*$$Y Fairy (OTW),42.0,,100.0,spotify:track:4NFbgFSI3FmS0zlbvtRdv6
73,Chilombo (Deluxe),90.0,Jhené Aiko,0kxPbM5emdNBPCSKCZYouz,P*$$Y Fairy (OTW),36.0,,100.0,spotify:track:0kxPbM5emdNBPCSKCZYouz
74,Chilombo,90.0,Jhené Aiko,3Rs9jOQ2FlVgS6vYXPoAVm,P*$$Y Fairy (OTW),62.0,,100.0,spotify:track:3Rs9jOQ2FlVgS6vYXPoAVm
75,P*$$Y Fairy (OTW),90.0,Jhené Aiko,60Ir2W9REDPNoHBoW33Zss,P*$$Y Fairy (OTW),38.0,,100.0,spotify:track:60Ir2W9REDPNoHBoW33Zss
76,Chilombo,90.0,Jhené Aiko,0e5mjBv0rtWIHtLgkABA29,P*$$Y Fairy (OTW),33.0,,100.0,spotify:track:0e5mjBv0rtWIHtLgkABA29
77,"Music is Universal: Relax, Pride & Chill",90.0,Jhené Aiko,6ElN9YZgFTAgikNVE2ldsP,P*$$Y Fairy (OTW),11.0,,100.0,spotify:track:6ElN9YZgFTAgikNVE2ldsP
78,God Whispered Your Name,100.0,Keith Urban,7Ce11Oh1kConF6UlkBWnaZ,God Whispered Your Name,74.0,,100.0,spotify:track:7Ce11Oh1kConF6UlkBWnaZ
79,Polaroid,100.0,Keith Urban,3GS91si2BiCdPMv6SeRjo1,God Whispered Your Name,35.0,,100.0,spotify:track:3GS91si2BiCdPMv6SeRjo1
80,Heaven Or Hell,100.0,Don Toliver,527k23H0A4Q0UJN3vGs0Da,After Party,89.0,https://p.scdn.co/mp3-preview/1abc83cda35186a1de03a2141e3e94dc2be65218?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:527k23H0A4Q0UJN3vGs0Da
81,Dark Lane Demo Tapes,92.0,"Drake, Giveon",4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),88.0,,97.0,spotify:track:4wVOKKEHUJxHCFFNUWDn0B
82,Dark Lane Demo Tapes,92.0,"Drake, Giveon",75VJBp3JE7W3oKoFeq1esH,Chicago Freestyle (feat. Giveon),56.0,,97.0,spotify:track:75VJBp3JE7W3oKoFeq1esH
83,Real Friends,100.0,Chris Janson,693NFnfJZt16AFDaZqlflo,Done,72.0,https://p.scdn.co/mp3-preview/6ccf67d8e34ef1c1a659704de844088541ba729e?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:693NFnfJZt16AFDaZqlflo
84,MAMACITA,94.0,"Black Eyed Peas, Ozuna, J. Rey Soul",14wf185UxfNbSy8dwt4r4q,MAMACITA,90.0,https://p.scdn.co/mp3-preview/13f5bac06aaa574b88d0bf452d8d04f5f64be3b1?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:14wf185UxfNbSy8dwt4r4q
85,Brothers,100.0,LOCASH,28uL97M3whSL1UWqr7hsNh,One Big Country Song,74.0,https://p.scdn.co/mp3-preview/23762c3857f6e3f64af559683a1a2a6baa6ba313?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:28uL97M3whSL1UWqr7hsNh
86,Center Point Road,96.0,"Thomas Rhett, Jon Pardi",7idmHTAQQPUFqdjXkoooXD,Beer Can’t Fix,75.0,,93.0,spotify:track:7idmHTAQQPUFqdjXkoooXD
87,Spring Break Country 2020,96.0,"Thomas Rhett, Jon Pardi",40e5N4UAbgBavoQYqq8GVh,Beer Can’t Fix,25.0,,93.0,spotify:track:40e5N4UAbgBavoQYqq8GVh
88,Center Point Road (Big Machine Radio Release Special),96.0,"Thomas Rhett, Jon Pardi",1yXfYMDiVkUd6SkgAkhRzQ,Beer Can’t Fix,23.0,,93.0,spotify:track:1yXfYMDiVkUd6SkgAkhRzQ
89,Soundtrack To Summer 2020,96.0,"Thomas Rhett, Jon Pardi",0KqJAknh0OUvWXZ8jqhzWz,Beer Can’t Fix,12.0,,93.0,spotify:track:0KqJAknh0OUvWXZ8jqhzWz
90,For Your Quarantine,96.0,"Thomas Rhett, Jon Pardi",1zYn6qHq16Grf6ofzfgrZP,Beer Can’t Fix,11.0,,93.0,spotify:track:1zYn6qHq16Grf6ofzfgrZP
91,After A Few,100.0,Travis Denning,1z6wl2rwKatfmza6usanWw,After A Few,71.0,,100.0,spotify:track:1z6wl2rwKatfmza6usanWw
92,Beer's Better Cold,100.0,Travis Denning,4tgv4Gjey3qh6vWmMNTKa1,After A Few,44.0,,100.0,spotify:track:4tgv4Gjey3qh6vWmMNTKa1
93,Country Songs About Drinking,100.0,Travis Denning,43cnftLiDtXIkbBVRxz7nz,After A Few,17.0,,100.0,spotify:track:43cnftLiDtXIkbBVRxz7nz
94,Best Country Of 2019,100.0,Travis Denning,5rYkDdDxQAsWxcQREPGAGF,After A Few,14.0,,100.0,spotify:track:5rYkDdDxQAsWxcQREPGAGF
95,3 Headed Goat (feat. Lil Baby & Polo G),91.0,"Lil Durk, Lil Baby, Polo G",677KTHp39ZBJ9csDdgymI9,3 Headed Goat (feat. Lil Baby & Polo G),76.0,,96.0,spotify:track:677KTHp39ZBJ9csDdgymI9
96,Just Cause Y'all Waited 2,91.0,"Lil Durk, Lil Baby, Polo G",2h4cmbyb6S7e8igDZIITJU,3 Headed Goat (feat. Lil Baby & Polo G),73.0,,96.0,spotify:track:2h4cmbyb6S7e8igDZIITJU
97,Just Cause Y'all Waited 2 (Deluxe),91.0,"Lil Durk, Lil Baby, Polo G",1HtxC1up0r4ANyxgk0QMYe,3 Headed Goat (feat. Lil Baby & Polo G),57.0,,96.0,spotify:track:1HtxC1up0r4ANyxgk0QMYe
98,Just Cause Y'all Waited 2,91.0,"Lil Durk, Lil Baby, Polo G",0ylA1sb6XHWZOgBudtyQR2,3 Headed Goat (feat. Lil Baby & Polo G),46.0,,96.0,spotify:track:0ylA1sb6XHWZOgBudtyQR2
99,Just Cause Y'all Waited 2 (Deluxe),91.0,"Lil Durk, Lil Baby, Polo G",34KlXBZOzeXCZ0HVq35aEi,3 Headed Goat (feat. Lil Baby & Polo G),11.0,,96.0,spotify:track:34KlXBZOzeXCZ0HVq35aEi
100,Late Nights And Longnecks,100.0,Justin Moore,4lSfhHd5Knwl8yQw2cVjAD,Why We Drink,73.0,,100.0,spotify:track:4lSfhHd5Knwl8yQw2cVjAD
101,Spring Break Country 2020,100.0,Justin Moore,3Yuv5129CGLeKGyyTjlOYg,Why We Drink,20.0,,100.0,spotify:track:3Yuv5129CGLeKGyyTjlOYg
102,Soundtrack To Summer 2019 (Deluxe Edition),100.0,Justin Moore,7fyUZlTtmMXOTueh67Eigp,Why We Drink,20.0,,100.0,spotify:track:7fyUZlTtmMXOTueh67Eigp
103,Soundtrack To Summer 2020,100.0,Justin Moore,6kPodGOzHmA5hkFZYAkLsE,Why We Drink,15.0,,100.0,spotify:track:6kPodGOzHmA5hkFZYAkLsE
104,Gameday Country,100.0,Justin Moore,3t84TYO03Zn8XETm4LG1rr,Why We Drink,10.0,,100.0,spotify:track:3t84TYO03Zn8XETm4LG1rr
105,Big Machine: Big Songs Of 2019,100.0,Justin Moore,0TFIQVDE39lEkJ3dGlT0ff,Why We Drink,7.0,,100.0,spotify:track:0TFIQVDE39lEkJ3dGlT0ff
106,For Your Quarantine,100.0,Justin Moore,3lqr7Zpw1J6FJa9DBZ1C91,Why We Drink,8.0,,100.0,spotify:track:3lqr7Zpw1J6FJa9DBZ1C91
107,BLACK PARADE,86.0,Beyoncé,2qzUpSVI4NnPyWxbXwumTj,BLACK PARADE,81.0,https://p.scdn.co/mp3-preview/b2e3679ec741b6b530892ba641752e82d3fcc9aa?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:2qzUpSVI4NnPyWxbXwumTj
108,Need It,97.0,"Migos, YoungBoy Never Broke Again",6mtjo5kIHKlboGE84lf1FJ,Need It,79.0,,100.0,spotify:track:6mtjo5kIHKlboGE84lf1FJ
109,One Of Them Girls,100.0,Lee Brice,14GwnOeC9qYEKEA6uOZepa,One Of Them Girls,76.0,https://p.scdn.co/mp3-preview/4a4493b2bcd139fd9515f19cad4c2398daeefb5d?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:14GwnOeC9qYEKEA6uOZepa
110,One Of Them Girls,100.0,Lee Brice,7EPvO8J95P2Qx5mWEVjW5s,One Of Them Girls,43.0,https://p.scdn.co/mp3-preview/f5af5c492ec8e553131116c25404dfd493e316b7?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:7EPvO8J95P2Qx5mWEVjW5s
