,album,artist_ratio,artists,id,name,popularity,preview_url,title_ratio,uri
1451,COSMIC,100.0,Bazzi,7uzmGiiJyRfuViKKK3lVmR,Mine,79.0,https://p.scdn.co/mp3-preview/139aec4c3e350d889e4f1108eb14654c3d70c376?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:7uzmGiiJyRfuViKKK3lVmR
1452,Swimming,100.0,Mac Miller,5p7GiBZNL1afJJDUrOA6C8,Hurt Feelings,70.0,https://p.scdn.co/mp3-preview/3f3bb12e4f55cd06cdc3829a1f7f02bd11616422?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:5p7GiBZNL1afJJDUrOA6C8
1453,Kamikaze,100.0,Eminem,2XTquzYQAdT1Hk78bOUwsv,Greatest,68.0,,100.0,spotify:track:2XTquzYQAdT1Hk78bOUwsv
1454,Swimming,100.0,Mac Miller,01z2fBGB8Hl3Jd3zXe4IXR,Come Back to Earth,71.0,https://p.scdn.co/mp3-preview/df6cba8215d6607251ad69e032445df6538b7289?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:01z2fBGB8Hl3Jd3zXe4IXR
1455,Love Yourself 結 'Answer',94.0,"BTS, Nicki Minaj",03iCbZaM4OkRR4We6wIzvx,IDOL,68.0,https://p.scdn.co/mp3-preview/9d0f3711701c3daee4afe8f421ba52a277ab3127?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:03iCbZaM4OkRR4We6wIzvx
1456,Summer Pack,100.0,Childish Gambino,7p4vHnYXkxlzvfePJVpcTr,Feels Like Summer,73.0,https://p.scdn.co/mp3-preview/047c2dc49290e69888f7a20e26aecf619be2aebd?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:7p4vHnYXkxlzvfePJVpcTr
1457,Scorpion,100.0,Drake,3qN5qMTKyEEmiTZD38BNTT,I'm Upset,72.0,,100.0,spotify:track:3qN5qMTKyEEmiTZD38BNTT
1458,Scorpion,100.0,Drake,0jG6bL0uU9FjfZyZRH9wzu,I'm Upset,43.0,,100.0,spotify:track:0jG6bL0uU9FjfZyZRH9wzu
1459,Culture II,100.0,Migos,0wbnC9AUenxp613TYaJsGK,Narcos,71.0,,100.0,spotify:track:0wbnC9AUenxp613TYaJsGK
1460,Kamikaze,100.0,Eminem,0evt4UZbdhnHtcAnxkm6A1,Normal,64.0,,100.0,spotify:track:0evt4UZbdhnHtcAnxkm6A1
1461,Kamikaze,100.0,Eminem,60Z57Wdrn0pEVpHI7d7GAX,Stepping Stone,64.0,,100.0,spotify:track:60Z57Wdrn0pEVpHI7d7GAX
1462,Kamikaze,93.0,"Eminem, Jessie Reyez",09FfQO3PqHO4HIJL511Ksi,Nice Guy (with Jessie Reyez),62.0,,94.0,spotify:track:09FfQO3PqHO4HIJL511Ksi
1463,Kamikaze,95.0,"Eminem, Jessie Reyez",4g32MdRoqwGKQd3NXIRhpU,Good Guy (feat. Jessie Reyez),65.0,,94.0,spotify:track:4g32MdRoqwGKQd3NXIRhpU
1464,4Respect 4Freedom 4Loyalty 4WhatImportant,95.0,"YoungBoy Never Broke Again, Kevin Gates, Quando Rondo",4O1uCappFiU3bisYUdUBWy,I Am Who They Say I Am (feat. Kevin Gates and Quando Rondo),63.0,https://p.scdn.co/mp3-preview/83cc38cfe7ad0baf66e7e684216d68f933f09e69?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,98.0,spotify:track:4O1uCappFiU3bisYUdUBWy
1465,Summer Pack,100.0,Childish Gambino,4j3GWI86JvSaF0BLdmgcfF,Summertime Magic,71.0,https://p.scdn.co/mp3-preview/54b992f72944542c137df6bbb1080f6f76c9df67?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4j3GWI86JvSaF0BLdmgcfF
1466,FRIENDS,93.0,"Marshmello, Anne-Marie",08bNPGLD8AhKpnnERrAc6G,FRIENDS,82.0,https://p.scdn.co/mp3-preview/99b833cf96a8b56040859443d8688a2e322c6667?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:08bNPGLD8AhKpnnERrAc6G
1467,Camila,100.0,Camila Cabello,4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,73.0,https://p.scdn.co/mp3-preview/51da25797c110cf14b87c3b308f4a86cb3e0afd4?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4eWQlBRaTjPPUlzacqEeoQ
1468,One Kiss (with Dua Lipa),94.0,"Calvin Harris, Dua Lipa",7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),83.0,https://p.scdn.co/mp3-preview/34b3b95afb8e1d34363f01b194b4a729100d3710?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,94.0,spotify:track:7ef4DlsgrMEH11cDZd32M6
1469,?,100.0,XXXTENTACION,0JP9xo3adEtGSdUEISiszL,Moonlight,85.0,,100.0,spotify:track:0JP9xo3adEtGSdUEISiszL
1470,Songs for the Saints,100.0,Kenny Chesney,6n6OQfBpCgzF9oEg8zhBN7,Get Along,72.0,https://p.scdn.co/mp3-preview/70ec3eea98f3ebf76b83cbe1e700c80ff3546da3?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6n6OQfBpCgzF9oEg8zhBN7
1471,Aura,100.0,Ozuna,33b2wX9d0kxqxhi7lcsC1A,Unica,69.0,https://p.scdn.co/mp3-preview/9494eb14e670d88b0cf5ee418fe520ebd0aaad16?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:33b2wX9d0kxqxhi7lcsC1A
1472,?,100.0,XXXTENTACION,7AFASza1mXqntmGtbxXprO,changes,84.0,,100.0,spotify:track:7AFASza1mXqntmGtbxXprO
1473,Happy Now,85.0,"Zedd, Elley Duhé",4keoy2fqgwGnbWlm3ZVZFa,Happy Now,76.0,,100.0,spotify:track:4keoy2fqgwGnbWlm3ZVZFa
1474,Level Up,100.0,Ciara,5ubwXXOsH9bUhZsQ0Cybha,Level Up,69.0,https://p.scdn.co/mp3-preview/a55191055ca6602bb50052ebaa69d9e6d9218f73?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:5ubwXXOsH9bUhZsQ0Cybha
1475,LIFE'S A TRIP,100.0,Trippie Redd,4mHgYpuGHu99Mw69E83CP2,Taking A Walk,78.0,,100.0,spotify:track:4mHgYpuGHu99Mw69E83CP2
1476,Taking A Walk,100.0,Trippie Redd,6ArSQdZWckNt208EzsgUM5,Taking A Walk,54.0,,100.0,spotify:track:6ArSQdZWckNt208EzsgUM5
1477,Don't Go Breaking My Heart,100.0,Backstreet Boys,79Mjfhh393dZdAsTvUFDR6,Don't Go Breaking My Heart,58.0,https://p.scdn.co/mp3-preview/34bed9f45b658ca1949015b6e9efd15cd7c7c089?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:79Mjfhh393dZdAsTvUFDR6
1478,Scorpion,100.0,Drake,7rC5Pl8rQSX4myONQHYPBK,Mob Ties,72.0,,100.0,spotify:track:7rC5Pl8rQSX4myONQHYPBK
1479,Goodbye & Good Riddance,96.0,"Juice WRLD, Lil Uzi Vert",1a7WZZZH7LzyvorhpOJFTe,Wasted (feat. Lil Uzi Vert),78.0,,92.0,spotify:track:1a7WZZZH7LzyvorhpOJFTe
1480,Sin Pijama,93.0,"Becky G, Natti Natasha",2ijef6ni2amuunRoKTlgww,Sin Pijama,75.0,https://p.scdn.co/mp3-preview/7097639119e58485fcb5ce246725fa2b7ac71904?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:2ijef6ni2amuunRoKTlgww
1481,This Is America,100.0,Childish Gambino,0b9oOr2ZgvyQu88wzixux9,This Is America,79.0,https://p.scdn.co/mp3-preview/01afc9c7c44d7b4b01d2340a00e586031827b243?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:0b9oOr2ZgvyQu88wzixux9
1482,Shawn Mendes,100.0,Shawn Mendes,2QZ7WLBE8h2y1Y5Fb8RYbH,In My Blood,79.0,,100.0,spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH
1483,Sweetener,100.0,Ariana Grande,70khXICDeTTxgYtw3EysKH,sweetener,68.0,,100.0,spotify:track:70khXICDeTTxgYtw3EysKH
1484,Sweetener,100.0,Ariana Grande,0WdR2AyLW1Drd3OUdwezM0,everytime,68.0,,100.0,spotify:track:0WdR2AyLW1Drd3OUdwezM0
1485,Sweetener,100.0,Ariana Grande,1xWH8zYtDeS9mW1JJG23VZ,R.E.M,68.0,,100.0,spotify:track:1xWH8zYtDeS9mW1JJG23VZ
