Unnamed: 0,acousticness,album,analysis_url,artist_levenshtein,artists,billboard_SongID,billboard_Unnamed: 0,billboard_artist,billboard_date,billboard_isNew,billboard_lastPos,billboard_peakPos,billboard_rank,billboard_title,billboard_weeks,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,popularity,preview_url,speechiness,tempo,time_signature,title_levenshtein,track_href,uri,valence
28.0,0.316,Slime & B,https://api.spotify.com/v1/audio-analysis/1IIKrJVP1C9N7iPtG6eOsK,94.0,"Chris Brown, Young Thug",Go CrazyChris Brown & Young Thug,30.0,Chris Brown & Young Thug,2020-07-11,0.0,32.0,30.0,30.0,Go Crazy,8.0,0.755,176960.0,0.578,1IIKrJVP1C9N7iPtG6eOsK,0.0,0.0,0.25,-8.932,0.0,Go Crazy,88.0,https://p.scdn.co/mp3-preview/cd1e4584425d4be8eae7489d704a36c3166a0065?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.145,94.148,4.0,100.0,https://api.spotify.com/v1/tracks/1IIKrJVP1C9N7iPtG6eOsK,spotify:track:1IIKrJVP1C9N7iPtG6eOsK,0.581
29.0,0.234,Savage Love (Laxed - Siren Beat),https://api.spotify.com/v1/audio-analysis/1xQ6trAsedVPCdbtDAmk0c,94.0,"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat)Jawsh 685 x Jason Derulo,31.0,Jawsh 685 x Jason Derulo,2020-07-11,0.0,43.0,31.0,31.0,Savage Love (Laxed - Siren Beat),3.0,0.767,171375.0,0.481,1xQ6trAsedVPCdbtDAmk0c,0.0,0.0,0.269,-8.52,0.0,Savage Love (Laxed - Siren Beat),95.0,https://p.scdn.co/mp3-preview/d709526bcdffa6683f85c9255c2fd4e7871ba04c?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.0803,150.076,4.0,100.0,https://api.spotify.com/v1/tracks/1xQ6trAsedVPCdbtDAmk0c,spotify:track:1xQ6trAsedVPCdbtDAmk0c,0.761
30.0,0.657,If I Know Me,https://api.spotify.com/v1/audio-analysis/5MwynWK9s4hlyKHqhkNn4A,100.0,Morgan Wallen,Chasin' YouMorgan Wallen,32.0,Morgan Wallen,2020-07-11,0.0,30.0,16.0,32.0,Chasin' You,23.0,0.631,205453.0,0.591,5MwynWK9s4hlyKHqhkNn4A,0.0,7.0,0.11,-5.785,1.0,Chasin' You,81.0,https://p.scdn.co/mp3-preview/315a23892d7b637a14a15b45d411f8d28f604059?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.0277,97.074,4.0,100.0,https://api.spotify.com/v1/tracks/5MwynWK9s4hlyKHqhkNn4A,spotify:track:5MwynWK9s4hlyKHqhkNn4A,0.489
31.0,0.0694,How You Like That,https://api.spotify.com/v1/audio-analysis/3vAn0qZzdyuHamcrpkfiX3,100.0,BLACKPINK,How You Like ThatBLACKPINK,33.0,BLACKPINK,2020-07-11,1.0,0.0,33.0,33.0,How You Like That,1.0,0.828,181264.0,0.782,3vAn0qZzdyuHamcrpkfiX3,3.41e-05,11.0,0.0544,-4.014,1.0,How You Like That,89.0,,0.0918,130.013,4.0,100.0,https://api.spotify.com/v1/tracks/3vAn0qZzdyuHamcrpkfiX3,spotify:track:3vAn0qZzdyuHamcrpkfiX3,0.351
32.0,0.223,Stuck with U,https://api.spotify.com/v1/audio-analysis/4HBZA5flZLE435QTztThqH,95.0,"Ariana Grande, Justin Bieber",Stuck With UAriana Grande & Justin Bieber,34.0,Ariana Grande & Justin Bieber,2020-07-11,0.0,28.0,1.0,34.0,Stuck With U,8.0,0.597,228482.0,0.45,4HBZA5flZLE435QTztThqH,0.0,8.0,0.382,-6.658,1.0,Stuck with U (with Justin Bieber),93.0,,0.0418,178.765,3.0,96.0,https://api.spotify.com/v1/tracks/4HBZA5flZLE435QTztThqH,spotify:track:4HBZA5flZLE435QTztThqH,0.537
33.0,0.038,Wildcard,https://api.spotify.com/v1/audio-analysis/0kPeZAyIhIfeZNrtfjJGDB,100.0,Miranda Lambert,BluebirdMiranda Lambert,35.0,Miranda Lambert,2020-07-11,0.0,33.0,33.0,35.0,Bluebird,13.0,0.661,209760.0,0.633,0kPeZAyIhIfeZNrtfjJGDB,2.82e-06,7.0,0.124,-5.986,1.0,Bluebird,76.0,https://p.scdn.co/mp3-preview/1a1a1bb3cdfeeef4adb5c3922ef2b4740b0a33f9?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.0349,81.984,4.0,100.0,https://api.spotify.com/v1/tracks/0kPeZAyIhIfeZNrtfjJGDB,spotify:track:0kPeZAyIhIfeZNrtfjJGDB,0.613
34.0,0.269,Please Excuse Me For Being Antisocial,https://api.spotify.com/v1/audio-analysis/07KXEDMj78x68D884wgVEm,95.0,"Roddy Ricch, Mustard",High FashionRoddy Ricch Featuring Mustard,36.0,Roddy Ricch Featuring Mustard,2020-07-11,0.0,31.0,20.0,36.0,High Fashion,27.0,0.831,220487.0,0.499,07KXEDMj78x68D884wgVEm,0.0,11.0,0.3,-8.442,0.0,High Fashion (feat. Mustard),85.0,https://p.scdn.co/mp3-preview/f1897162d24233245eeafa90af45ce969845b29b?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.114,97.956,4.0,96.0,https://api.spotify.com/v1/tracks/07KXEDMj78x68D884wgVEm,spotify:track:07KXEDMj78x68D884wgVEm,0.511
35.0,0.0286,My Turn,https://api.spotify.com/v1/audio-analysis/7ge7BHazYbVKi8qyZUX1Bm,100.0,Lil Baby,Emotionally ScarredLil Baby,37.0,Lil Baby,2020-07-11,0.0,36.0,31.0,37.0,Emotionally Scarred,18.0,0.585,197530.0,0.641,7ge7BHazYbVKi8qyZUX1Bm,0.0,6.0,0.316,-4.269,0.0,Emotionally Scarred,82.0,,0.133,88.284,4.0,100.0,https://api.spotify.com/v1/tracks/7ge7BHazYbVKi8qyZUX1Bm,spotify:track:7ge7BHazYbVKi8qyZUX1Bm,0.266
36.0,0.233,THE SCOTTS,https://api.spotify.com/v1/audio-analysis/39Yp9wwQiSRIDOvrVg7mbk,96.0,"THE SCOTTS, Travis Scott, Kid Cudi","The ScottsTHE SCOTTS, Travis Scott & Kid Cudi",38.0,"THE SCOTTS, Travis Scott & Kid Cudi",2020-07-11,0.0,35.0,1.0,38.0,The Scotts,10.0,0.716,165978.0,0.537,39Yp9wwQiSRIDOvrVg7mbk,0.0,0.0,0.157,-7.648,0.0,THE SCOTTS,93.0,https://p.scdn.co/mp3-preview/36bf1375c8d3f3925556744935f234b5e060e0cc?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.0514,129.979,4.0,100.0,https://api.spotify.com/v1/tracks/39Yp9wwQiSRIDOvrVg7mbk,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,0.28
37.0,0.00776,Be Kind (with Halsey),https://api.spotify.com/v1/audio-analysis/3Z8FwOEN59mRMxDCtb8N0A,92.0,"Marshmello, Halsey",Be KindMarshmello & Halsey,39.0,Marshmello & Halsey,2020-07-11,0.0,41.0,29.0,39.0,Be Kind,9.0,0.63,172762.0,0.633,3Z8FwOEN59mRMxDCtb8N0A,0.0,4.0,0.0541,-7.088,1.0,Be Kind (with Halsey),91.0,,0.0457,93.995,4.0,93.0,https://api.spotify.com/v1/tracks/3Z8FwOEN59mRMxDCtb8N0A,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,0.452
