,album,artist_levenshtein,artists,billboard_SongID,billboard_Unnamed: 0,billboard_artist,billboard_date,billboard_isNew,billboard_lastPos,billboard_peakPos,billboard_rank,billboard_title,billboard_weeks,id,name,popularity,preview_url,title_levenshtein,uri
0,BLAME IT ON BABY,95.0,"DaBaby, Roddy Ricch",RockstarDaBaby Featuring Roddy Ricch,0.0,DaBaby Featuring Roddy Ricch,2020-07-11,0.0,1.0,1.0,1.0,Rockstar,11.0,7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),100.0,,94.0,spotify:track:7ytR5pFWmSjzHJIeQkgog4
1,After Hours,100.0,The Weeknd,Blinding LightsThe Weeknd,3.0,The Weeknd,2020-07-11,0.0,3.0,1.0,3.0,Blinding Lights,31.0,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,99.0,,100.0,spotify:track:0VjIjW4GlUZAMYd2vXMi3b
2,Suga,81.0,Megan Thee Stallion,SavageMegan Thee Stallion Featuring Beyonce,4.0,Megan Thee Stallion Featuring Beyonce,2020-07-11,0.0,2.0,1.0,4.0,Savage,16.0,55CHeLEfn5iJ0IIkgaa4si,Savage,86.0,https://p.scdn.co/mp3-preview/c0240762e32d735387bb594760d0d84e44102100?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:55CHeLEfn5iJ0IIkgaa4si
3,Collection One,100.0,SAINt JHN,RosesSAINt JHN,5.0,SAINt JHN,2020-07-11,0.0,4.0,4.0,5.0,Roses,15.0,0easEmosKkPhksg0qidzXo,Roses,74.0,https://p.scdn.co/mp3-preview/61499f5316f873a45469beda341cb4d47332eaaf?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:0easEmosKkPhksg0qidzXo
4,Say So (feat. Nicki Minaj),95.0,"Doja Cat, Nicki Minaj",Say SoDoja Cat Featuring Nicki Minaj,6.0,Doja Cat Featuring Nicki Minaj,2020-07-11,0.0,6.0,1.0,6.0,Say So,26.0,11VApNQCWLJdzxWrlmwzUa,Say So (feat. Nicki Minaj),85.0,https://p.scdn.co/mp3-preview/d07fbbe4e6c0ce64f63d8b94c1e5cb893cc24a1d?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,92.0,spotify:track:11VApNQCWLJdzxWrlmwzUa
5,Intentions,95.0,"Justin Bieber, Quavo",IntentionsJustin Bieber Featuring Quavo,7.0,Justin Bieber Featuring Quavo,2020-07-11,0.0,5.0,5.0,7.0,Intentions,21.0,364dI1bYnvamSnBJ8JcNzN,Intentions,88.0,,100.0,spotify:track:364dI1bYnvamSnBJ8JcNzN
6,Fine Line,100.0,Harry Styles,Watermelon SugarHarry Styles,8.0,Harry Styles,2020-07-11,0.0,16.0,8.0,8.0,Watermelon Sugar,15.0,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,95.0,https://p.scdn.co/mp3-preview/0c51b5f7ed852504844feebfb4f4b7f099452662?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6UelLqGlWMcVH1E5c4H7lY
7,Blueberry Faygo,100.0,Lil Mosey,Blueberry FaygoLil Mosey,9.0,Lil Mosey,2020-07-11,0.0,9.0,9.0,9.0,Blueberry Faygo,21.0,6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,90.0,,100.0,spotify:track:6wJYhPfqk3KGhHRG76WzOh
8,My Turn (Deluxe),91.0,"Lil Baby, 42 Dugg",We PaidLil Baby & 42 Dugg,10.0,Lil Baby & 42 Dugg,2020-07-11,0.0,18.0,10.0,10.0,We Paid,9.0,6gxKUmycQX7uyMwJcweFjp,We Paid (feat. 42 Dugg),87.0,,93.0,spotify:track:6gxKUmycQX7uyMwJcweFjp
9,Fine Line,100.0,Harry Styles,Adore YouHarry Styles,11.0,Harry Styles,2020-07-11,0.0,12.0,6.0,11.0,Adore You,30.0,3jjujdWJ72nww5eGnfs2E7,Adore You,88.0,https://p.scdn.co/mp3-preview/2dbeaa922270b3372d221f09c773a38696aed573?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:3jjujdWJ72nww5eGnfs2E7
10,Rain On Me (with Ariana Grande),94.0,"Lady Gaga, Ariana Grande",Rain On MeLady Gaga & Ariana Grande,12.0,Lady Gaga & Ariana Grande,2020-07-11,0.0,11.0,1.0,12.0,Rain On Me,6.0,24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),93.0,,95.0,spotify:track:24ySl2hOPGCDcxBxFIqWBu
11,Hollywood's Bleeding,100.0,Post Malone,CirclesPost Malone,13.0,Post Malone,2020-07-11,0.0,10.0,1.0,13.0,Circles,44.0,21jGcNKet2qwijlDFuPiPb,Circles,91.0,,100.0,spotify:track:21jGcNKet2qwijlDFuPiPb
12,The Bigger Picture,100.0,Lil Baby,The Bigger PictureLil Baby,14.0,Lil Baby,2020-07-11,0.0,7.0,3.0,14.0,The Bigger Picture,3.0,44gRhRi2OhEf7moAUj6MD1,The Bigger Picture,86.0,,100.0,spotify:track:44gRhRi2OhEf7moAUj6MD1
13,Don't Start Now,100.0,Dua Lipa,Don't Start NowDua Lipa,15.0,Dua Lipa,2020-07-11,0.0,14.0,2.0,15.0,Don't Start Now,35.0,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,90.0,https://p.scdn.co/mp3-preview/ed151225213380a41e5c4af00ff558e25b5875d1?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg
14,Please Excuse Me For Being Antisocial,100.0,Roddy Ricch,The BoxRoddy Ricch,16.0,Roddy Ricch,2020-07-11,0.0,15.0,1.0,16.0,The Box,30.0,0nbXyq5TXYPCO7pr3N8S4I,The Box,93.0,https://p.scdn.co/mp3-preview/52c74a85b9b187b8f51bfe1c7b19a25f7624161a?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:0nbXyq5TXYPCO7pr3N8S4I
15,GIRL,100.0,Maren Morris,The BonesMaren Morris,17.0,Maren Morris,2020-07-11,0.0,13.0,12.0,17.0,The Bones,41.0,7yFhA2fUsL2oIMWlw5DaHQ,The Bones,77.0,https://p.scdn.co/mp3-preview/7d53fc638000344dc9ab4d419a1b52bc848610ae?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:7yFhA2fUsL2oIMWlw5DaHQ
16,Life Is Good (feat. Drake),92.0,"Future, Drake",Life Is GoodFuture Featuring Drake,18.0,Future Featuring Drake,2020-07-11,0.0,21.0,2.0,18.0,Life Is Good,25.0,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),88.0,https://p.scdn.co/mp3-preview/79199a9ab949b5803197efb455c224299d7d5949?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,96.0,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc
17,Falling,100.0,Trevor Daniel,FallingTrevor Daniel,19.0,Trevor Daniel,2020-07-11,0.0,19.0,17.0,19.0,Falling,33.0,4TnjEaWOeW0eKTKIEvJyCa,Falling,89.0,https://p.scdn.co/mp3-preview/dac6a7bd1f1333d17afe8c12b71ee11e3c233efd?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4TnjEaWOeW0eKTKIEvJyCa
18,Break My Heart,100.0,Dua Lipa,Break My HeartDua Lipa,20.0,Dua Lipa,2020-07-11,0.0,23.0,20.0,20.0,Break My Heart,14.0,1raaNykBg1bDnWENUiglUA,Break My Heart,88.0,https://p.scdn.co/mp3-preview/db7293c1d12874c0b4e604999ef04f05b185e5d9?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:1raaNykBg1bDnWENUiglUA
19,Goldmine,100.0,Gabby Barrett,I HopeGabby Barrett,21.0,Gabby Barrett,2020-07-11,0.0,17.0,16.0,21.0,I Hope,27.0,23T0OX7QOiIUFShSzbJ5Uo,I Hope,75.0,https://p.scdn.co/mp3-preview/41fc0d71737c474bf5eec0fd0f93af115f360d2b?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:23T0OX7QOiIUFShSzbJ5Uo
20,One Margarita,100.0,Luke Bryan,One MargaritaLuke Bryan,22.0,Luke Bryan,2020-07-11,0.0,29.0,22.0,22.0,One Margarita,9.0,6NhS5LwYbJ6xD7BGvlWRJO,One Margarita,78.0,,100.0,spotify:track:6NhS5LwYbJ6xD7BGvlWRJO
21,Where the Light Is,100.0,Surfaces,Sunday BestSurfaces,23.0,Surfaces,2020-07-11,0.0,22.0,19.0,23.0,Sunday Best,18.0,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,92.0,,100.0,spotify:track:1Cv1YLb4q0RzL6pybtaMLo
22,poems of the past,94.0,"Powfu, beabadoobee",Death BedPowfu Featuring beabadoobee,24.0,Powfu Featuring beabadoobee,2020-07-11,0.0,24.0,23.0,24.0,Death Bed,16.0,5TEH4r5OBFcKZJBjF4qOxL,death bed (coffee for your head),68.0,https://p.scdn.co/mp3-preview/5bc9716d7c7b66ebe07a641265cd3124f8b9e16c?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,95.0,spotify:track:5TEH4r5OBFcKZJBjF4qOxL
23,Before You Go,100.0,Lewis Capaldi,Before You GoLewis Capaldi,25.0,Lewis Capaldi,2020-07-11,0.0,27.0,25.0,25.0,Before You Go,22.0,7ce20yLkzuXXLUhzIDoZih,Before You Go,88.0,,100.0,spotify:track:7ce20yLkzuXXLUhzIDoZih
24,Toosie Slide,100.0,Drake,Toosie SlideDrake,26.0,Drake,2020-07-11,0.0,20.0,1.0,26.0,Toosie Slide,13.0,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,93.0,,100.0,spotify:track:127QTOFJsJQp5LbJbu3A1y
25,SOUTHSIDE,100.0,Sam Hunt,Hard To ForgetSam Hunt,27.0,Sam Hunt,2020-07-11,0.0,26.0,26.0,27.0,Hard To Forget,14.0,10xuH52YSXHWFwCaF1fsDd,Hard To Forget,75.0,,100.0,spotify:track:10xuH52YSXHWFwCaF1fsDd
26,Girls in the Hood,100.0,Megan Thee Stallion,Girls In The HoodMegan Thee Stallion,28.0,Megan Thee Stallion,2020-07-11,1.0,0.0,28.0,28.0,Girls In The Hood,1.0,6WbTTAGKrQtCQvmc5BuYfh,Girls in the Hood,79.0,https://p.scdn.co/mp3-preview/d3fa63b67b6431276e7638d7fa2337b7f89ad2c5?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6WbTTAGKrQtCQvmc5BuYfh
27,Party Girl,100.0,StaySolidRocky,Party GirlStaySolidRocky,29.0,StaySolidRocky,2020-07-11,0.0,25.0,21.0,29.0,Party Girl,10.0,5RqR4ZCCKJDcBLIn4sih9l,Party Girl,94.0,https://p.scdn.co/mp3-preview/734041c8149469e7b104713d2c5ae209eab54003?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:5RqR4ZCCKJDcBLIn4sih9l
28,Slime & B,94.0,"Chris Brown, Young Thug",Go CrazyChris Brown & Young Thug,30.0,Chris Brown & Young Thug,2020-07-11,0.0,32.0,30.0,30.0,Go Crazy,8.0,1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,88.0,https://p.scdn.co/mp3-preview/cd1e4584425d4be8eae7489d704a36c3166a0065?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:1IIKrJVP1C9N7iPtG6eOsK
29,Savage Love (Laxed - Siren Beat),94.0,"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat)Jawsh 685 x Jason Derulo,31.0,Jawsh 685 x Jason Derulo,2020-07-11,0.0,43.0,31.0,31.0,Savage Love (Laxed - Siren Beat),3.0,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),95.0,https://p.scdn.co/mp3-preview/d709526bcdffa6683f85c9255c2fd4e7871ba04c?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:1xQ6trAsedVPCdbtDAmk0c
30,If I Know Me,100.0,Morgan Wallen,Chasin' YouMorgan Wallen,32.0,Morgan Wallen,2020-07-11,0.0,30.0,16.0,32.0,Chasin' You,23.0,5MwynWK9s4hlyKHqhkNn4A,Chasin' You,81.0,https://p.scdn.co/mp3-preview/315a23892d7b637a14a15b45d411f8d28f604059?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:5MwynWK9s4hlyKHqhkNn4A
31,How You Like That,100.0,BLACKPINK,How You Like ThatBLACKPINK,33.0,BLACKPINK,2020-07-11,1.0,0.0,33.0,33.0,How You Like That,1.0,3vAn0qZzdyuHamcrpkfiX3,How You Like That,89.0,,100.0,spotify:track:3vAn0qZzdyuHamcrpkfiX3
32,Stuck with U,95.0,"Ariana Grande, Justin Bieber",Stuck With UAriana Grande & Justin Bieber,34.0,Ariana Grande & Justin Bieber,2020-07-11,0.0,28.0,1.0,34.0,Stuck With U,8.0,4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),93.0,,96.0,spotify:track:4HBZA5flZLE435QTztThqH
33,Wildcard,100.0,Miranda Lambert,BluebirdMiranda Lambert,35.0,Miranda Lambert,2020-07-11,0.0,33.0,33.0,35.0,Bluebird,13.0,0kPeZAyIhIfeZNrtfjJGDB,Bluebird,76.0,https://p.scdn.co/mp3-preview/1a1a1bb3cdfeeef4adb5c3922ef2b4740b0a33f9?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:0kPeZAyIhIfeZNrtfjJGDB
34,Please Excuse Me For Being Antisocial,95.0,"Roddy Ricch, Mustard",High FashionRoddy Ricch Featuring Mustard,36.0,Roddy Ricch Featuring Mustard,2020-07-11,0.0,31.0,20.0,36.0,High Fashion,27.0,07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),85.0,https://p.scdn.co/mp3-preview/f1897162d24233245eeafa90af45ce969845b29b?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,96.0,spotify:track:07KXEDMj78x68D884wgVEm
35,My Turn,100.0,Lil Baby,Emotionally ScarredLil Baby,37.0,Lil Baby,2020-07-11,0.0,36.0,31.0,37.0,Emotionally Scarred,18.0,7ge7BHazYbVKi8qyZUX1Bm,Emotionally Scarred,82.0,,100.0,spotify:track:7ge7BHazYbVKi8qyZUX1Bm
36,THE SCOTTS,96.0,"THE SCOTTS, Travis Scott, Kid Cudi","The ScottsTHE SCOTTS, Travis Scott & Kid Cudi",38.0,"THE SCOTTS, Travis Scott & Kid Cudi",2020-07-11,0.0,35.0,1.0,38.0,The Scotts,10.0,39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,93.0,https://p.scdn.co/mp3-preview/36bf1375c8d3f3925556744935f234b5e060e0cc?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:39Yp9wwQiSRIDOvrVg7mbk
37,Be Kind (with Halsey),92.0,"Marshmello, Halsey",Be KindMarshmello & Halsey,39.0,Marshmello & Halsey,2020-07-11,0.0,41.0,29.0,39.0,Be Kind,9.0,3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),91.0,,93.0,spotify:track:3Z8FwOEN59mRMxDCtb8N0A
38,Walk Em Down (feat. Roddy Ricch),96.0,"NLE Choppa, Roddy Ricch",Walk Em DownNLE Choppa Featuring Roddy Ricch,40.0,NLE Choppa Featuring Roddy Ricch,2020-07-11,0.0,39.0,38.0,40.0,Walk Em Down,15.0,4cSSL3YafYjM3yjgFO1vJg,Walk Em Down (feat. Roddy Ricch),88.0,https://p.scdn.co/mp3-preview/06dc9625d973fa2fae9a7565a35fb996011f75b7?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,96.0,spotify:track:4cSSL3YafYjM3yjgFO1vJg
39,STELLA & STEVE,95.0,"BENEE, Gus Dapperton",SupalonelyBENEE Featuring Gus Dapperton,41.0,BENEE Featuring Gus Dapperton,2020-07-11,0.0,42.0,39.0,41.0,Supalonely,16.0,4nK5YrxbMGZstTLbvj6Gxw,Supalonely,93.0,,100.0,spotify:track:4nK5YrxbMGZstTLbvj6Gxw
40,Memories,100.0,Maroon 5,MemoriesMaroon 5,42.0,Maroon 5,2020-07-11,0.0,40.0,2.0,42.0,Memories,41.0,2b8fOow8UzyDFAE27YhOZM,Memories,90.0,,100.0,spotify:track:2b8fOow8UzyDFAE27YhOZM
41,Fully Loaded: God's Country,83.0,"Blake Shelton, Gwen Stefani",Nobody But YouBlake Shelton Duet With Gwen Stefani,43.0,Blake Shelton Duet With Gwen Stefani,2020-07-11,0.0,44.0,18.0,43.0,Nobody But You,25.0,5M8goiFYynmNxhueYW6grR,Nobody But You (Duet with Gwen Stefani),74.0,https://p.scdn.co/mp3-preview/0e127846b81767bf42658ea6922bf04e071ae89f?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,97.0,spotify:track:5M8goiFYynmNxhueYW6grR
42,Meet The Woo,100.0,Pop Smoke,DiorPop Smoke,44.0,Pop Smoke,2020-07-11,0.0,46.0,30.0,44.0,Dior,20.0,79s5XnCN4TJKTVMSmOx8Ep,Dior,85.0,,100.0,spotify:track:79s5XnCN4TJKTVMSmOx8Ep
43,Die From A Broken Heart,100.0,Maddie & Tae,Die From A Broken HeartMaddie & Tae,45.0,Maddie & Tae,2020-07-11,0.0,51.0,45.0,45.0,Die From A Broken Heart,12.0,1kFpL1itkwkdhO6kcmNJra,Die From A Broken Heart,73.0,,100.0,spotify:track:1kFpL1itkwkdhO6kcmNJra
44,hot girl bummer,100.0,blackbear,Hot Girl Bummerblackbear,46.0,blackbear,2020-07-11,0.0,47.0,11.0,46.0,Hot Girl Bummer,42.0,7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,87.0,,100.0,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku
45,Here And Now,100.0,Kenny Chesney,Here And NowKenny Chesney,47.0,Kenny Chesney,2020-07-11,0.0,38.0,38.0,47.0,Here And Now,13.0,7qRVyZDt1Caftkk8CQlKtk,Here And Now,72.0,https://p.scdn.co/mp3-preview/64206e3491e3761de88f22243dc643e735cac9c5?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:7qRVyZDt1Caftkk8CQlKtk
46,6-Pack,100.0,Florida Georgia Line,I Love My CountryFlorida Georgia Line,48.0,Florida Georgia Line,2020-07-11,0.0,53.0,48.0,48.0,I Love My Country,11.0,5blHL2xSCGv00fr1DGuvEf,I Love My Country,74.0,,100.0,spotify:track:5blHL2xSCGv00fr1DGuvEf
47,Wash Us In The Blood,96.0,"Kanye West, Travis Scott",Wash Us In The BloodKanye West Featuring Travis Scott,49.0,Kanye West Featuring Travis Scott,2020-07-11,1.0,0.0,49.0,49.0,Wash Us In The Blood,1.0,7mEUjhl6aTztdHCrxoTgBG,Wash Us In The Blood,84.0,,100.0,spotify:track:7mEUjhl6aTztdHCrxoTgBG
48,Hot Pink,95.0,"Doja Cat, Gucci Mane",Like ThatDoja Cat Featuring Gucci Mane,51.0,Doja Cat Featuring Gucci Mane,2020-07-11,0.0,72.0,51.0,51.0,Like That,5.0,4EivmOT13NMpNSfTKn9p4s,Like That (feat. Gucci Mane),85.0,https://p.scdn.co/mp3-preview/a3fa1e34dd1b9c96a8070384c86210c98002f667?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,95.0,spotify:track:4EivmOT13NMpNSfTKn9p4s
49,9,100.0,Jason Aldean,Got What I GotJason Aldean,52.0,Jason Aldean,2020-07-11,0.0,67.0,52.0,52.0,Got What I Got,5.0,4TCc369aRPRubv1m8R1TBG,Got What I Got,76.0,https://p.scdn.co/mp3-preview/7525b91a07fecb01947cbfd16d1760b0541cdf1b?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4TCc369aRPRubv1m8R1TBG
50,What You See Is What You Get,96.0,"Luke Combs, Eric Church",Does To MeLuke Combs Featuring Eric Church,53.0,Luke Combs Featuring Eric Church,2020-07-11,0.0,48.0,20.0,53.0,Does To Me,16.0,0nGXi46VcQQ56ZJR428MKS,Does To Me (feat. Eric Church),76.0,https://p.scdn.co/mp3-preview/fae647c1021472496f0c175b4659ce8e57c9cb73?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,95.0,spotify:track:0nGXi46VcQQ56ZJR428MKS
51,TROLLZ (with Nicki Minaj),93.0,"6ix9ine, Nicki Minaj",Trollz6ix9ine & Nicki Minaj,54.0,6ix9ine & Nicki Minaj,2020-07-11,0.0,34.0,1.0,54.0,Trollz,3.0,3dVvWnj4D8JGkKvo6Hucso,TROLLZ (with Nicki Minaj),86.0,https://p.scdn.co/mp3-preview/5dbb446f6bb7342d45073c9bb95f43cb2a5d5eec?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,92.0,spotify:track:3dVvWnj4D8JGkKvo6Hucso
52,GOOBA,100.0,6ix9ine,Gooba6ix9ine,55.0,6ix9ine,2020-07-11,0.0,50.0,3.0,55.0,Gooba,8.0,4NhDYoQTYCdWHTvlbGVgwo,GOOBA,92.0,https://p.scdn.co/mp3-preview/0ba4a78b8cd53f81a0b6ed5a547e6f384dd7feb9?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4NhDYoQTYCdWHTvlbGVgwo
53,Seasons Change,100.0,Scotty McCreery,In BetweenScotty McCreery,56.0,Scotty McCreery,2020-07-11,0.0,60.0,53.0,56.0,In Between,12.0,2IuazAsyvbb3fFZb0Uvsmk,In Between,71.0,https://p.scdn.co/mp3-preview/00cb608116bcd6207f37e0758aa61c360ff71ce4?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:2IuazAsyvbb3fFZb0Uvsmk
54,Don't Rush (feat. Headie One),96.0,"Young T & Bugsey, Headie One",Don't RushYoung T & Bugsey Featuring Headie One,57.0,Young T & Bugsey Featuring Headie One,2020-07-11,0.0,58.0,56.0,57.0,Don't Rush,8.0,0PXukVbYpvz40KcEFKnIw7,Don't Rush (feat. Headie One),80.0,https://p.scdn.co/mp3-preview/e11ba4656428d605276655f67566815543280348?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,95.0,spotify:track:0PXukVbYpvz40KcEFKnIw7
55,Be A Light,96.0,"Thomas Rhett, Reba McEntire, Hillary Scott, Chris Tomlin, Keith Urban","Be A LightThomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",58.0,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",2020-07-11,0.0,59.0,58.0,58.0,Be A Light,13.0,5o6dFqafETxZNqUFt9ZqAC,Be A Light,74.0,,100.0,spotify:track:5o6dFqafETxZNqUFt9ZqAC
56,P*$$Y Fairy (OTW),90.0,Jhené Aiko,P*$$y Fairy (OTW)Jhene Aiko,59.0,Jhene Aiko,2020-07-11,0.0,56.0,40.0,59.0,P*$$y Fairy (OTW),24.0,48KXAIruJ07kJVCWOGohMV,P*$$Y Fairy (OTW),74.0,,100.0,spotify:track:48KXAIruJ07kJVCWOGohMV
57,God Whispered Your Name,100.0,Keith Urban,God Whispered Your NameKeith Urban,60.0,Keith Urban,2020-07-11,0.0,61.0,60.0,60.0,God Whispered Your Name,11.0,7Ce11Oh1kConF6UlkBWnaZ,God Whispered Your Name,74.0,,100.0,spotify:track:7Ce11Oh1kConF6UlkBWnaZ
58,Heaven Or Hell,100.0,Don Toliver,After PartyDon Toliver,61.0,Don Toliver,2020-07-11,0.0,63.0,57.0,61.0,After Party,11.0,527k23H0A4Q0UJN3vGs0Da,After Party,89.0,https://p.scdn.co/mp3-preview/1abc83cda35186a1de03a2141e3e94dc2be65218?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:527k23H0A4Q0UJN3vGs0Da
59,Dark Lane Demo Tapes,92.0,"Drake, Giveon",Chicago FreestyleDrake Featuring Giveon,62.0,Drake Featuring Giveon,2020-07-11,0.0,64.0,14.0,62.0,Chicago Freestyle,9.0,4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),88.0,,97.0,spotify:track:4wVOKKEHUJxHCFFNUWDn0B
60,Real Friends,100.0,Chris Janson,DoneChris Janson,63.0,Chris Janson,2020-07-11,0.0,76.0,63.0,63.0,Done,3.0,693NFnfJZt16AFDaZqlflo,Done,72.0,https://p.scdn.co/mp3-preview/6ccf67d8e34ef1c1a659704de844088541ba729e?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:693NFnfJZt16AFDaZqlflo
61,MAMACITA,94.0,"Black Eyed Peas, Ozuna, J. Rey Soul","MamacitaBlack Eyed Peas, Ozuna + J.Rey Soul",64.0,"Black Eyed Peas, Ozuna + J.Rey Soul",2020-07-11,0.0,62.0,62.0,64.0,Mamacita,4.0,14wf185UxfNbSy8dwt4r4q,MAMACITA,90.0,https://p.scdn.co/mp3-preview/13f5bac06aaa574b88d0bf452d8d04f5f64be3b1?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:14wf185UxfNbSy8dwt4r4q
62,Brothers,100.0,LOCASH,One Big Country SongLOCASH,65.0,LOCASH,2020-07-11,0.0,68.0,65.0,65.0,One Big Country Song,5.0,28uL97M3whSL1UWqr7hsNh,One Big Country Song,74.0,https://p.scdn.co/mp3-preview/23762c3857f6e3f64af559683a1a2a6baa6ba313?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:28uL97M3whSL1UWqr7hsNh
63,Center Point Road,96.0,"Thomas Rhett, Jon Pardi",Beer Can't FixThomas Rhett Featuring Jon Pardi,66.0,Thomas Rhett Featuring Jon Pardi,2020-07-11,0.0,66.0,36.0,66.0,Beer Can't Fix,16.0,7idmHTAQQPUFqdjXkoooXD,Beer Can’t Fix,75.0,,93.0,spotify:track:7idmHTAQQPUFqdjXkoooXD
64,After A Few,100.0,Travis Denning,After A FewTravis Denning,67.0,Travis Denning,2020-07-11,0.0,55.0,31.0,67.0,After A Few,14.0,1z6wl2rwKatfmza6usanWw,After A Few,71.0,,100.0,spotify:track:1z6wl2rwKatfmza6usanWw
65,3 Headed Goat (feat. Lil Baby & Polo G),91.0,"Lil Durk, Lil Baby, Polo G",3 Headed GoatLil Durk Featuring Lil Baby & Polo G,68.0,Lil Durk Featuring Lil Baby & Polo G,2020-07-11,0.0,0.0,43.0,68.0,3 Headed Goat,3.0,677KTHp39ZBJ9csDdgymI9,3 Headed Goat (feat. Lil Baby & Polo G),76.0,,96.0,spotify:track:677KTHp39ZBJ9csDdgymI9
66,Late Nights And Longnecks,100.0,Justin Moore,Why We DrinkJustin Moore,69.0,Justin Moore,2020-07-11,0.0,73.0,69.0,69.0,Why We Drink,5.0,4lSfhHd5Knwl8yQw2cVjAD,Why We Drink,73.0,,100.0,spotify:track:4lSfhHd5Knwl8yQw2cVjAD
67,BLACK PARADE,86.0,Beyoncé,Black ParadeBeyonce,71.0,Beyonce,2020-07-11,0.0,37.0,37.0,71.0,Black Parade,2.0,2qzUpSVI4NnPyWxbXwumTj,BLACK PARADE,81.0,https://p.scdn.co/mp3-preview/b2e3679ec741b6b530892ba641752e82d3fcc9aa?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:2qzUpSVI4NnPyWxbXwumTj
