,album,artist_levenshtein,artists,billboard_SongID,billboard_Unnamed: 0,billboard_artist,billboard_date,billboard_isNew,billboard_lastPos,billboard_peakPos,billboard_rank,billboard_title,billboard_weeks,id,name,popularity,preview_url,title_levenshtein,uri
2231,What A Time To Be Alive,89.0,"Drake, Future",Digital DashDrake & Future,24101.0,Drake & Future,2015-11-21,0.0,90.0,62.0,99.0,Digital Dash,7.0,0GR7iJLhj80KD5LkA14ZRn,Digital Dash,59.0,,100.0,spotify:track:0GR7iJLhj80KD5LkA14ZRn
2232,V,100.0,Maroon 5,SugarMaroon 5,24151.0,Maroon 5,2015-11-14,0.0,46.0,2.0,49.0,Sugar,42.0,2iuZJX9X9P0GKaE93xcPjk,Sugar,79.0,,100.0,spotify:track:2iuZJX9X9P0GKaE93xcPjk
2233,Some Type of Love,96.0,"Charlie Puth, Meghan Trainor",Marvin GayeCharlie Puth Featuring Meghan Trainor,24163.0,Charlie Puth Featuring Meghan Trainor,2015-11-14,0.0,54.0,21.0,61.0,Marvin Gaye,20.0,6ukMqDxnOPOgoHdak7Kyp3,Marvin Gaye (feat. Meghan Trainor),70.0,https://p.scdn.co/mp3-preview/e6a5d5e2cd75bce08b7cf483d15b72b5e4bf3226?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,96.0,spotify:track:6ukMqDxnOPOgoHdak7Kyp3
2234,Chapter 1 - EP,100.0,Kane Brown,Used To Love You SoberKane Brown,24184.0,Kane Brown,2015-11-14,1.0,0.0,82.0,82.0,Used To Love You Sober,1.0,6V3wTb4VVDWRw3YEDgc6Py,Used to Love You Sober,60.0,https://p.scdn.co/mp3-preview/5f4fd6bde82465dd31f2b4d94f9f69b78e591423?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6V3wTb4VVDWRw3YEDgc6Py
2235,Ignite the Night (Party Edition),100.0,Chase Rice,Gonna Wanna TonightChase Rice,24190.0,Chase Rice,2015-11-14,0.0,73.0,67.0,88.0,Gonna Wanna Tonight,12.0,6C2XDnr9B6obGMVhHS1Nmo,Gonna Wanna Tonight,58.0,https://p.scdn.co/mp3-preview/9d403794a95ec626481bbf7285c4c2d5068d71de?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6C2XDnr9B6obGMVhHS1Nmo
2236,Powerful (Remixes),94.0,"Major Lazer, Ellie Goulding, Tarrus Riley",PowerfulMajor Lazer Featuring Ellie Goulding & Tarrus Riley,24198.0,Major Lazer Featuring Ellie Goulding & Tarrus Riley,2015-11-14,0.0,83.0,83.0,96.0,Powerful,6.0,37jalmkAdkohJQj98FGU7r,Powerful,59.0,,100.0,spotify:track:37jalmkAdkohJQj98FGU7r
2237,"Flex (Ooh, Ooh, Ooh)",100.0,Rich Homie Quan,Flex (Ooh Ooh Ooh)Rich Homie Quan,24251.0,Rich Homie Quan,2015-11-07,0.0,44.0,26.0,49.0,Flex (Ooh Ooh Ooh),27.0,2NVt7fxr5GsqTkGwYXcNTE,"Flex (Ooh, Ooh, Ooh)",62.0,https://p.scdn.co/mp3-preview/51a59a783312ba0d39d3cc15eb2bcc0ec2004d83?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:2NVt7fxr5GsqTkGwYXcNTE
2238,Reflection (Deluxe),95.0,"Fifth Harmony, Kid Ink",Worth ItFifth Harmony Featuring Kid Ink,24252.0,Fifth Harmony Featuring Kid Ink,2015-11-07,0.0,47.0,12.0,50.0,Worth It,36.0,41Fflg7qHiVOD6dEPvsCzO,Worth It (feat. Kid Ink),74.0,https://p.scdn.co/mp3-preview/c0f02a6635d964af34db76eaaa60f45c6c73580a?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,94.0,spotify:track:41Fflg7qHiVOD6dEPvsCzO
2239,Illinois,100.0,Brett Eldredge,Lose My MindBrett Eldredge,24269.0,Brett Eldredge,2015-11-07,0.0,57.0,48.0,67.0,Lose My Mind,20.0,1qC0pi9ZH47XDjvaNbg8ch,Lose My Mind,54.0,https://p.scdn.co/mp3-preview/f3055d16d272bd34a32689b57ba97c82902948fe?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:1qC0pi9ZH47XDjvaNbg8ch
2240,SremmLife,100.0,Rae Sremmurd,This Could Be UsRae Sremmurd,24274.0,Rae Sremmurd,2015-11-07,0.0,77.0,49.0,72.0,This Could Be Us,20.0,4jTiyLlOJVJj3mCr7yfPQD,This Could Be Us,74.0,,100.0,spotify:track:4jTiyLlOJVJj3mCr7yfPQD
