,SongID,Unnamed: 0,artist,date,isNew,lastPos,peakPos,rank,title,weeks
58862,Pop ChampagneJim Jones & Ron Browz Featuring Juelz Santana,58862.0,Jim Jones & Ron Browz Featuring Juelz Santana,2009-03-14,0.0,53.0,22.0,60.0,Pop Champagne,20.0
58873,TonightJonas Brothers,58873.0,Jonas Brothers,2009-03-14,0.0,89.0,8.0,71.0,Tonight,4.0
58877,I'm So PaidAkon Featuring Lil Wayne & Young Jeezy,58877.0,Akon Featuring Lil Wayne & Young Jeezy,2009-03-14,0.0,63.0,31.0,75.0,I'm So Paid,20.0
58886,Love Is On Its WayJonas Brothers,58886.0,Jonas Brothers,2009-03-14,1.0,0.0,84.0,84.0,Love Is On Its Way,1.0
58889,One More DrinkLudacris Co-Starring T-Pain,58889.0,Ludacris Co-Starring T-Pain,2009-03-14,0.0,70.0,24.0,87.0,One More Drink,18.0
58985,Lost!Coldplay With Jay-Z,58985.0,Coldplay With Jay-Z,2009-03-07,0.0,40.0,40.0,83.0,Lost!,5.0
58989,My PresidentYoung Jeezy Featuring Nas,58989.0,Young Jeezy Featuring Nas,2009-03-07,0.0,76.0,53.0,87.0,My President,6.0
58990,F*ck YouLily Allen,58990.0,Lily Allen,2009-03-07,0.0,68.0,68.0,88.0,F*ck You,2.0
58997,Break My HeartSpectacular! Cast,58997.0,Spectacular! Cast,2009-03-07,1.0,0.0,95.0,95.0,Break My Heart,1.0
59100,IfULeaveMusiq Soulchild Featuring Mary J. Blige,59100.0,Musiq Soulchild Featuring Mary J. Blige,2009-02-28,0.0,87.0,71.0,98.0,IfULeave,12.0
59172,AbsoluteThe Fray,59172.0,The Fray,2009-02-21,1.0,0.0,70.0,70.0,Absolute,1.0
59181,Top Of The WorldThe Pussycat Dolls,59181.0,The Pussycat Dolls,2009-02-21,1.0,0.0,79.0,79.0,Top Of The World,1.0
59194,DecodeParamore,59194.0,Paramore,2009-02-21,0.0,68.0,33.0,92.0,Decode,14.0
59283,Let MePat Green,59283.0,Pat Green,2009-02-14,0.0,99.0,81.0,81.0,Let Me,2.0
59289,Tell Me Something I Don't KnowSelena Gomez,59289.0,Selena Gomez,2009-02-14,0.0,58.0,58.0,87.0,Tell Me Something I Don't Know,4.0
59295,BrokenLifehouse,59295.0,Lifehouse,2009-02-14,0.0,92.0,83.0,93.0,Broken,15.0
59368,I Don't CareFall Out Boy,59368.0,Fall Out Boy,2009-02-07,0.0,56.0,21.0,66.0,I Don't Care,20.0
59397,HereRascal Flatts,59397.0,Rascal Flatts,2009-02-07,0.0,73.0,50.0,95.0,Here,17.0
59442,Mrs. OfficerLil Wayne Featuring Bobby Valentino & Kidd Kidd,59442.0,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,2009-01-31,0.0,34.0,16.0,40.0,Mrs. Officer,22.0
59496,Lookin' For A Good TimeLady Antebellum,59496.0,Lady Antebellum,2009-01-31,0.0,83.0,67.0,94.0,Lookin' For A Good Time,15.0
59502,All Summer LongThe Rock Heroes,59502.0,The Rock Heroes,2009-01-31,0.0,90.0,29.0,100.0,All Summer Long,15.0
59577,Pen & Paper (Something Typical)The Red Jumpsuit Apparatus,59577.0,The Red Jumpsuit Apparatus,2009-01-24,1.0,0.0,75.0,75.0,Pen & Paper (Something Typical),1.0
59598,Arab MoneyBusta Rhymes Featuring Ron Browz,59598.0,Busta Rhymes Featuring Ron Browz,2009-01-24,0.0,97.0,86.0,96.0,Arab Money,6.0
59600,Universal Mind ControlCommon Featuring Pharrell,59600.0,Common Featuring Pharrell,2009-01-24,0.0,84.0,62.0,98.0,Universal Mind Control,6.0
59602,Go HardDJ Khaled Featuring Kanye West & T-Pain,59602.0,DJ Khaled Featuring Kanye West & T-Pain,2009-01-24,0.0,0.0,69.0,100.0,Go Hard,2.0
59774,J**z In My PantsThe Lonely Island,59774.0,The Lonely Island,2009-01-10,1.0,0.0,72.0,72.0,J**z In My Pants,1.0
59883,RunLeona Lewis,59883.0,Leona Lewis,2009-01-03,1.0,0.0,81.0,81.0,Run,1.0
59884,Let It GoTim McGraw,59884.0,Tim McGraw,2009-01-03,0.0,68.0,47.0,82.0,Let It Go,15.0
59971,SwingSavage Featuring Soulja Boy Tell'em,59971.0,Savage Featuring Soulja Boy Tell'em,2008-12-27,0.0,62.0,45.0,69.0,Swing,20.0
59996,Get Up50 Cent,59996.0,50 Cent,2008-12-27,0.0,84.0,44.0,94.0,Get Up,9.0
60167,Last Of A Dying BreedLudacris Co-Starring Lil Wayne,60167.0,Ludacris Co-Starring Lil Wayne,2008-12-13,1.0,0.0,65.0,65.0,Last Of A Dying Breed,1.0
60194,What Them Girls LikeLudacris Co-Starring Chris Brown & Sean Garrett,60194.0,Ludacris Co-Starring Chris Brown & Sean Garrett,2008-12-13,0.0,99.0,33.0,92.0,What Them Girls Like,14.0
60292,RideAce Hood Featuring Trey Songz,60292.0,Ace Hood Featuring Trey Songz,2008-12-06,1.0,0.0,90.0,90.0,Ride,1.0
60389,BreatheTaylor Swift Featuring Colbie Caillat,60389.0,Taylor Swift Featuring Colbie Caillat,2008-11-29,1.0,0.0,87.0,87.0,Breathe,1.0
60477,Bartender SongRehab,60477.0,Rehab,2008-11-22,0.0,72.0,64.0,75.0,Bartender Song,20.0
60498,Too Drunk...Buckcherry,60498.0,Buckcherry,2008-11-22,1.0,0.0,96.0,96.0,Too Drunk...,1.0
60499,AngelNatasha Bedingfield,60499.0,Natasha Bedingfield,2008-11-22,0.0,68.0,63.0,97.0,Angel,8.0
60587,Now Or NeverHigh School Musical 3 Cast,60587.0,High School Musical 3 Cast,2008-11-15,0.0,68.0,68.0,85.0,Now Or Never,3.0
60591,AngelsDavid Archuleta,60591.0,David Archuleta,2008-11-15,1.0,0.0,89.0,89.0,Angels,1.0
60599,Cuddy BuddyMike Jones Featuring Trey Songz & Twista,60599.0,Mike Jones Featuring Trey Songz & Twista,2008-11-15,0.0,76.0,76.0,97.0,Cuddy Buddy,3.0
60600,Can I Have This DanceZac Efron & Vanessa Hudgens,60600.0,Zac Efron & Vanessa Hudgens,2008-11-15,0.0,100.0,98.0,98.0,Can I Have This Dance,2.0
60700,All I Ever WantedChuck Wicks,60700.0,Chuck Wicks,2008-11-08,0.0,86.0,86.0,98.0,All I Ever Wanted,4.0
60755,Put OnYoung Jeezy Featuring Kanye West,60755.0,Young Jeezy Featuring Kanye West,2008-11-01,0.0,51.0,12.0,53.0,Put On,20.0
60802,MagicRobin Thicke,60802.0,Robin Thicke,2008-11-01,0.0,80.0,59.0,100.0,Magic,17.0
60878,The BusinessYung Berg Featuring Casha,60878.0,Yung Berg Featuring Casha,2008-10-25,0.0,65.0,33.0,76.0,The Business,14.0
60900,"Out Here GrindinDJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie",60900.0,"DJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie",2008-10-25,0.0,87.0,38.0,98.0,Out Here Grindin,15.0
60999,BabyLL Cool J Featuring The-Dream,60999.0,LL Cool J Featuring The-Dream,2008-10-18,0.0,73.0,52.0,97.0,Baby,11.0
61050,Get Like MeDavid Banner Featuring Chris Brown,61050.0,David Banner Featuring Chris Brown,2008-10-11,0.0,40.0,16.0,48.0,Get Like Me,21.0
61087,Check Yes Juliet (Run Baby Run)WE the Kings,61087.0,WE the Kings,2008-10-11,0.0,77.0,70.0,85.0,Check Yes Juliet (Run Baby Run),11.0
61102,On The LineDemi Lovato Featuring Jonas Brothers,61102.0,Demi Lovato Featuring Jonas Brothers,2008-10-11,1.0,0.0,100.0,100.0,On The Line,1.0
61172,Just Stand Up!Artists Stand Up To Cancer,61172.0,Artists Stand Up To Cancer,2008-10-04,0.0,36.0,11.0,70.0,Just Stand Up!,4.0
61192,ThunderBoys Like Girls,61192.0,Boys Like Girls,2008-10-04,0.0,86.0,76.0,90.0,Thunder,13.0
61290,All Summer LongHit Masters,61290.0,Hit Masters,2008-09-27,0.0,63.0,19.0,88.0,All Summer Long,5.0
61293,Corona And LimeShwayze,61293.0,Shwayze,2008-09-27,0.0,82.0,23.0,91.0,Corona And Lime,8.0
61296,7 ThingsMiley Cyrus,61296.0,Miley Cyrus,2008-09-27,0.0,83.0,9.0,94.0,7 Things,15.0
61301,Free Fallin'John Mayer,61301.0,John Mayer,2008-09-27,0.0,97.0,51.0,99.0,Free Fallin',10.0
61395,American BoyStudio All-Stars,61395.0,Studio All-Stars,2008-09-20,0.0,52.0,52.0,93.0,American Boy,3.0
61496,Gunpowder And LeadMiranda Lambert,61496.0,Miranda Lambert,2008-09-13,0.0,89.0,52.0,94.0,Gunpowder And Lead,17.0
61498,BelieveStaind,61498.0,Staind,2008-09-13,0.0,83.0,83.0,96.0,Believe,3.0
61502,ChangeTaylor Swift,61502.0,Taylor Swift,2008-09-13,0.0,39.0,10.0,100.0,Change,3.0
61543,DreamerChris Brown,61543.0,Chris Brown,2008-09-06,0.0,16.0,16.0,41.0,Dreamer,2.0
61547,Bust It Baby Part 2Plies Featuring Ne-Yo,61547.0,Plies Featuring Ne-Yo,2008-09-06,0.0,38.0,7.0,45.0,Bust It Baby Part 2,22.0
61590,HomeBlake Shelton,61590.0,Blake Shelton,2008-09-06,0.0,75.0,41.0,88.0,Home,20.0
61597,Girls Around The WorldLloyd Featuring Lil Wayne,61597.0,Lloyd Featuring Lil Wayne,2008-09-06,0.0,86.0,64.0,95.0,Girls Around The World,14.0
61601,Marco PoloBow Wow Featuring Soulja Boy Tell'em,61601.0,Bow Wow Featuring Soulja Boy Tell'em,2008-09-06,0.0,95.0,66.0,99.0,Marco Polo,3.0
61694,RealGoo Goo Dolls,61694.0,Goo Goo Dolls,2008-08-30,1.0,0.0,92.0,92.0,Real,1.0
61698,WarriorNelly,61698.0,Nelly,2008-08-30,1.0,0.0,96.0,96.0,Warrior,1.0
61700,Something SpecialColbie Caillat,61700.0,Colbie Caillat,2008-08-30,1.0,0.0,98.0,98.0,Something Special,1.0
61788,SummertimeNew Kids On The Block,61788.0,New Kids On The Block,2008-08-23,0.0,62.0,36.0,86.0,Summertime,13.0
61850,Love In This ClubUsher Featuring Young Jeezy,61850.0,Usher Featuring Young Jeezy,2008-08-16,0.0,39.0,1.0,48.0,Love In This Club,25.0
61951,LowFlo Rida Featuring T-Pain,61951.0,Flo Rida Featuring T-Pain,2008-08-09,0.0,44.0,1.0,49.0,Low,40.0
62001,Mamma MiaMeryl Streep,62001.0,Meryl Streep,2008-08-09,1.0,0.0,99.0,99.0,Mamma Mia,1.0
62002,Love In This Club Part IIUsher Featuring Beyonce & Lil Wayne,62002.0,Usher Featuring Beyonce & Lil Wayne,2008-08-09,0.0,83.0,18.0,100.0,Love In This Club Part II,14.0
62051,SayJohn Mayer,62051.0,John Mayer,2008-08-02,0.0,42.0,12.0,49.0,Say,28.0
62099,HeroNas Featuring Keri Hilson,62099.0,Nas Featuring Keri Hilson,2008-08-02,1.0,0.0,97.0,97.0,Hero,1.0
62185,Life In A Northern TownSugarland Featuring Little Big Town & Jake Owen,62185.0,Sugarland Featuring Little Big Town & Jake Owen,2008-07-26,0.0,67.0,43.0,83.0,Life In A Northern Town,3.0
62192,Stepped On My J'zNelly Featuring Ciara & JD,62192.0,Nelly Featuring Ciara & JD,2008-07-26,1.0,0.0,90.0,90.0,Stepped On My J'z,1.0
62284,Gotta Find YouJoe Jonas,62284.0,Joe Jonas,2008-07-19,0.0,36.0,30.0,82.0,Gotta Find You,3.0
62290,SneakernightVanessa Hudgens,62290.0,Vanessa Hudgens,2008-07-19,1.0,0.0,88.0,88.0,Sneakernight,1.0
62393,Last TimeTrey Songz,62393.0,Trey Songz,2008-07-12,0.0,95.0,69.0,91.0,Last Time,13.0
62398,Love Don't Live HereLady Antebellum,62398.0,Lady Antebellum,2008-07-12,0.0,81.0,53.0,96.0,Love Don't Live Here,18.0
62485,There's NothinSean Kingston Featuring Elan & Juelz Santana,62485.0,Sean Kingston Featuring Elan & Juelz Santana,2008-07-05,0.0,74.0,60.0,83.0,There's Nothin,8.0
62699,Nine In The AfternoonPanic! At The Disco,62699.0,Panic! At The Disco,2008-06-21,0.0,87.0,51.0,97.0,Nine In The Afternoon,19.0
62702,CustomerRaheem DeVaughn,62702.0,Raheem DeVaughn,2008-06-21,0.0,92.0,76.0,100.0,Customer,9.0
62783,Dream BigDavid Cook,62783.0,David Cook,2008-06-14,0.0,15.0,15.0,81.0,Dream Big,2.0
62787,I Still Haven't Found What I'm Looking ForDavid Cook,62787.0,David Cook,2008-06-14,0.0,22.0,22.0,85.0,I Still Haven't Found What I'm Looking For,2.0
62800,Love Is GoneDavid Guetta & Chris Willis,62800.0,David Guetta & Chris Willis,2008-06-14,1.0,0.0,98.0,98.0,Love Is Gone,1.0
62830,The World I KnowDavid Cook,62830.0,David Cook,2008-06-07,1.0,0.0,28.0,28.0,The World I Know,1.0
62838,ImagineDavid Archuleta,62838.0,David Archuleta,2008-06-07,1.0,0.0,36.0,36.0,Imagine,1.0
62844,I Don't Want To Miss A ThingDavid Cook,62844.0,David Cook,2008-06-07,1.0,0.0,42.0,42.0,I Don't Want To Miss A Thing,1.0
62849,Billie JeanDavid Cook,62849.0,David Cook,2008-06-07,1.0,0.0,47.0,47.0,Billie Jean,1.0
62860,Don't Let The Sun Go Down On MeDavid Archuleta,62860.0,David Archuleta,2008-06-07,1.0,0.0,58.0,58.0,Don't Let The Sun Go Down On Me,1.0
62862,In This MomentDavid Archuleta,62862.0,David Archuleta,2008-06-07,1.0,0.0,60.0,60.0,In This Moment,1.0
62869,Always Be My BabyDavid Cook,62869.0,David Cook,2008-06-07,1.0,0.0,67.0,67.0,Always Be My Baby,1.0
62875,HelloDavid Cook,62875.0,David Cook,2008-06-07,1.0,0.0,73.0,73.0,Hello,1.0
62879,The Music Of The NightDavid Cook,62879.0,David Cook,2008-06-07,1.0,0.0,77.0,77.0,The Music Of The Night,1.0
62894,Eleanor RigbyDavid Cook,62894.0,David Cook,2008-06-07,1.0,0.0,92.0,92.0,Eleanor Rigby,1.0
62897,Hollywood's Not AmericaFerras,62897.0,Ferras,2008-06-07,0.0,77.0,62.0,95.0,Hollywood's Not America,10.0
62901,I'm AliveDavid Cook,62901.0,David Cook,2008-06-07,1.0,0.0,99.0,99.0,I'm Alive,1.0
62970,HallelujahKate Voegele,62970.0,Kate Voegele,2008-05-31,1.0,0.0,68.0,68.0,Hallelujah,1.0
62996,Boyfriend/GirlfriendC-Side Featuring Keyshia Cole,62996.0,C-Side Featuring Keyshia Cole,2008-05-31,0.0,90.0,72.0,94.0,Boyfriend/Girlfriend,7.0
63052,IndependentWebbie Featuring Lil' Phat & Lil' Boosie,63052.0,Webbie Featuring Lil' Phat & Lil' Boosie,2008-05-24,0.0,39.0,9.0,50.0,Independent,25.0
63151,Teardrops On My GuitarTaylor Swift,63151.0,Taylor Swift,2008-05-17,0.0,48.0,13.0,49.0,Teardrops On My Guitar,48.0
63190,Sweet And LowAugustana,63190.0,Augustana,2008-05-17,1.0,0.0,88.0,88.0,Sweet And Low,1.0
63198,Dreams CollideColbie Caillat,63198.0,Colbie Caillat,2008-05-17,1.0,0.0,96.0,96.0,Dreams Collide,1.0
63297,I Like The Way She Do ItG Unit,63297.0,G Unit,2008-05-10,1.0,0.0,95.0,95.0,I Like The Way She Do It,1.0
63298,Little Miss ObsessiveAshlee Simpson With Tom Higgenson,63298.0,Ashlee Simpson With Tom Higgenson,2008-05-10,1.0,0.0,96.0,96.0,Little Miss Obsessive,1.0
63301,YAHHH!Soulja Boy Tell'em Featuring Arab,63301.0,Soulja Boy Tell'em Featuring Arab,2008-05-10,0.0,75.0,48.0,99.0,YAHHH!,13.0
63384,NeverJaheim,63384.0,Jaheim,2008-05-03,0.0,83.0,76.0,82.0,Never,17.0
63391,FeedbackJanet,63391.0,Janet,2008-05-03,0.0,82.0,19.0,89.0,Feedback,17.0
63393,ShiftworkKenny Chesney Duet With George Strait,63393.0,Kenny Chesney Duet With George Strait,2008-05-03,0.0,86.0,47.0,91.0,Shiftwork,16.0
63396,Praying For TimeCarrie Underwood,63396.0,Carrie Underwood,2008-05-03,0.0,27.0,27.0,94.0,Praying For Time,2.0
63445,Shout To The LordAmerican Idol Top 8,63445.0,American Idol Top 8,2008-04-26,1.0,0.0,43.0,43.0,Shout To The Lord,1.0
63482,Many Rivers To CrossAnnie Lennox,63482.0,Annie Lennox,2008-04-26,1.0,0.0,80.0,80.0,Many Rivers To Cross,1.0
63599,LostMichael Buble,63599.0,Michael Buble,2008-04-19,1.0,0.0,97.0,97.0,Lost,1.0
63671,RollFlo Rida Featuring Sean Kingston,63671.0,Flo Rida Featuring Sean Kingston,2008-04-12,0.0,61.0,61.0,69.0,Roll,2.0
63694,Ching-A-LingMissy Elliott,63694.0,Missy Elliott,2008-04-12,0.0,77.0,60.0,92.0,Ching-A-Ling,9.0
63698,Diamond GirlRyan Leslie,63698.0,Ryan Leslie,2008-04-12,0.0,95.0,95.0,96.0,Diamond Girl,3.0
63701,Dance Like There's No TomorrowPaula Abdul & Randy Jackson,63701.0,Paula Abdul & Randy Jackson,2008-04-12,0.0,81.0,62.0,99.0,Dance Like There's No Tomorrow,6.0
63793,Who The F*** Is That?Dolla Featuring T-Pain & Tay Dizm,63793.0,Dolla Featuring T-Pain & Tay Dizm,2008-04-05,0.0,84.0,82.0,91.0,Who The F*** Is That?,4.0
63802,WomanRaheem DeVaughn,63802.0,Raheem DeVaughn,2008-04-05,0.0,96.0,96.0,100.0,Woman,4.0
63901,Falling SlowlyThe Swell Season (Glen Hansard & Marketa Irglova),63901.0,The Swell Season (Glen Hansard & Marketa Irglova),2008-03-29,0.0,78.0,61.0,99.0,Falling Slowly,3.0
63902,HoneyErykah Badu,63902.0,Erykah Badu,2008-03-29,0.0,98.0,88.0,100.0,Honey,3.0
64174,StaySugarland,64174.0,Sugarland,2008-03-08,0.0,68.0,32.0,72.0,Stay,20.0
64247,Crank That (Soulja Boy)Soulja Boy Tell'em,64247.0,Soulja Boy Tell'em,2008-03-01,0.0,42.0,1.0,45.0,Crank That (Soulja Boy),32.0
64272,The Prayer (Live)Celine Dion & Josh Groban,64272.0,Celine Dion & Josh Groban,2008-03-01,1.0,0.0,70.0,70.0,The Prayer (Live),1.0
64389,GirlfriendBow Wow & Omarion,64389.0,Bow Wow & Omarion,2008-02-23,0.0,75.0,33.0,87.0,Girlfriend,15.0
64396,Shoulda Let You GoKeyshia Cole Introducing Amina,64396.0,Keyshia Cole Introducing Amina,2008-02-23,0.0,80.0,41.0,94.0,Shoulda Let You Go,20.0
64401,Wanna Be Startin' Somethin' 2008Michael Jackson With Akon,64401.0,Michael Jackson With Akon,2008-02-23,0.0,92.0,81.0,99.0,Wanna Be Startin' Somethin' 2008,3.0
64402,EverybodyKeith Urban,64402.0,Keith Urban,2008-02-23,0.0,93.0,64.0,100.0,Everybody,19.0
64554,"I'm So HoodDJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",64554.0,"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",2008-02-09,0.0,44.0,19.0,52.0,I'm So Hood,20.0
64689,Shawty Is A 10The-Dream,64689.0,The-Dream,2008-02-02,0.0,67.0,17.0,87.0,Shawty Is A 10,20.0
64700,Anyone Else But YouMichael Cera & Ellen Page,64700.0,Michael Cera & Ellen Page,2008-02-02,0.0,91.0,91.0,98.0,Anyone Else But You,2.0
64788,Soulja GirlSoulja Boy Tell'em Featuring I-15,64788.0,Soulja Boy Tell'em Featuring I-15,2008-01-26,0.0,66.0,32.0,86.0,Soulja Girl,15.0
64789,Baby Don't GoFabolous Featuring Jermaine Dupri,64789.0,Fabolous Featuring Jermaine Dupri,2008-01-26,0.0,80.0,23.0,87.0,Baby Don't Go,20.0
64794,Witch Doctor (2007)Alvin And The Chipmunks Featuring Chris Classic,64794.0,Alvin And The Chipmunks Featuring Chris Classic,2008-01-26,0.0,64.0,62.0,92.0,Witch Doctor (2007),3.0
64900,FallClay Walker,64900.0,Clay Walker,2008-01-19,0.0,96.0,55.0,98.0,Fall,18.0
64968,The Chipmunk Song (Christmas Don't Be Late) (2007)Alvin And The Chipmunks,64968.0,Alvin And The Chipmunks,2008-01-12,0.0,70.0,66.0,66.0,The Chipmunk Song (Christmas Don't Be Late) (2007),2.0
65002,Leave It All To Me (iCarly Theme Song)Miranda Cosgrove Featuring Drake Bell,65002.0,Miranda Cosgrove Featuring Drake Bell,2008-01-12,1.0,0.0,100.0,100.0,Leave It All To Me (iCarly Theme Song),1.0
65045,Until The End Of TimeJustin Timberlake Duet With Beyonce,65045.0,Justin Timberlake Duet With Beyonce,2008-01-05,0.0,38.0,17.0,43.0,Until The End Of Time,25.0
65192,More Than A MemoryGarth Brooks,65192.0,Garth Brooks,2007-12-29,0.0,69.0,53.0,90.0,More Than A Memory,16.0
65201,MistletoeColbie Caillat,65201.0,Colbie Caillat,2007-12-29,0.0,87.0,75.0,99.0,Mistletoe,4.0
65397,Still Will50 Cent Featuring Akon,65397.0,50 Cent Featuring Akon,2007-12-15,1.0,0.0,95.0,95.0,Still Will,1.0
65398,I'm Like A Lawyer...(Me & You)Fall Out Boy,65398.0,Fall Out Boy,2007-12-15,0.0,74.0,68.0,96.0,I'm Like A Lawyer...(Me & You),6.0
65494,The Hand ClapHurricane Chris Featuring Big Poppa,65494.0,Hurricane Chris Featuring Big Poppa,2007-12-08,0.0,91.0,72.0,92.0,The Hand Clap,6.0
65497,HotAvril Lavigne,65497.0,Avril Lavigne,2007-12-08,1.0,0.0,95.0,95.0,Hot,1.0
65562,LoveStonedJustin Timberlake,65562.0,Justin Timberlake,2007-12-01,0.0,58.0,17.0,60.0,LoveStoned,20.0
65650,HomeDaughtry,65650.0,Daughtry,2007-11-24,0.0,43.0,5.0,48.0,Home,37.0
66085,Do YouNe-Yo,66085.0,Ne-Yo,2007-10-27,0.0,65.0,26.0,83.0,Do You,20.0
66185,WadsyanameNelly,66185.0,Nelly,2007-10-20,0.0,66.0,43.0,83.0,Wadsyaname,6.0
66300,Do You Know? (The Ping Pong Song)/DimeloEnrique Iglesias,66300.0,Enrique Iglesias,2007-10-13,0.0,97.0,21.0,98.0,Do You Know? (The Ping Pong Song)/Dimelo,20.0
66400,Same GirlR. Kelly Duet With Usher,66400.0,R. Kelly Duet With Usher,2007-10-06,0.0,91.0,20.0,98.0,Same Girl,20.0
66490,Do ItNelly Furtado,66490.0,Nelly Furtado,2007-09-29,1.0,0.0,88.0,88.0,Do It,1.0
66500,(You Want To) Make A MemoryBon Jovi,66500.0,Bon Jovi,2007-09-29,0.0,92.0,27.0,98.0,(You Want To) Make A Memory,20.0
66592,EasyPaula DeAnda Featuring Bow Wow,66592.0,Paula DeAnda Featuring Bow Wow,2007-09-22,0.0,80.0,64.0,90.0,Easy,11.0
66600,You Are The Music In MeZac Efron & Vanessa Anne Hudgens,66600.0,Zac Efron & Vanessa Anne Hudgens,2007-09-22,0.0,77.0,31.0,98.0,You Are The Music In Me,4.0
66602,Hold OnJonas Brothers,66602.0,Jonas Brothers,2007-09-22,0.0,87.0,53.0,100.0,Hold On,7.0
66699,Bet On ItZac Efron,66699.0,Zac Efron,2007-09-15,0.0,46.0,46.0,97.0,Bet On It,3.0
66702,Wipe Me DownLil Boosie Featuring Foxx & Webbie,66702.0,Lil Boosie Featuring Foxx & Webbie,2007-09-15,0.0,91.0,38.0,100.0,Wipe Me Down,18.0
66767,EverydayZac Efron & Vanessa Anne Hudgens,66767.0,Zac Efron & Vanessa Anne Hudgens,2007-09-08,0.0,90.0,65.0,65.0,Everyday,2.0
66772,I Don't DanceCorbin Bleu & Lucas Grabeel,66772.0,Corbin Bleu & Lucas Grabeel,2007-09-08,0.0,74.0,70.0,70.0,I Don't Dance,2.0
66778,FabulousAshley Tisdale & Lucas Grabeel,66778.0,Ashley Tisdale & Lucas Grabeel,2007-09-08,1.0,0.0,76.0,76.0,Fabulous,1.0
66797,ToughCraig Morgan,66797.0,Craig Morgan,2007-09-08,0.0,87.0,76.0,95.0,Tough,8.0
66951,Get It ShawtyLloyd,66951.0,Lloyd,2007-08-25,0.0,45.0,16.0,49.0,Get It Shawty,22.0
67049,Give It To MeTimbaland Featuring Nelly Furtado & Justin Timberlake,67049.0,Timbaland Featuring Nelly Furtado & Justin Timberlake,2007-08-18,0.0,43.0,1.0,47.0,Give It To Me,26.0
67094,MomentsEmerson Drive,67094.0,Emerson Drive,2007-08-18,0.0,87.0,56.0,92.0,Moments,20.0
67197,AnonymousBobby Valentino Featuring Timbaland,67197.0,Bobby Valentino Featuring Timbaland,2007-08-11,0.0,92.0,49.0,95.0,Anonymous,12.0
67199,ForeverPapa Roach,67199.0,Papa Roach,2007-08-11,0.0,76.0,55.0,97.0,Forever,18.0
67201,You Can't Stop The BeatCast Of Hairspray,67201.0,Cast Of Hairspray,2007-08-11,0.0,88.0,88.0,99.0,You Can't Stop The Beat,2.0
67272,Please Don't GoTank,67272.0,Tank,2007-08-04,0.0,71.0,42.0,70.0,Please Don't Go,20.0
67283,"We Takin' OverDJ Khaled Featuring T.I., Akon, Rick Ross, Fat Joe, Lil' Wayne & Baby",67283.0,"DJ Khaled Featuring T.I., Akon, Rick Ross, Fat Joe, Lil' Wayne & Baby",2007-08-04,0.0,78.0,28.0,81.0,We Takin' Over,17.0
67295,Before It's Too Late (Sam And Mikaela's Theme)Goo Goo Dolls,67295.0,Goo Goo Dolls,2007-08-04,0.0,87.0,86.0,93.0,Before It's Too Late (Sam And Mikaela's Theme),3.0
67299,StrangerHilary Duff,67299.0,Hilary Duff,2007-08-04,1.0,0.0,97.0,97.0,Stranger,1.0
67499,G.N.O. (Girl's Night Out)Miley Cyrus,67499.0,Miley Cyrus,2007-07-21,0.0,91.0,91.0,97.0,G.N.O. (Girl's Night Out),2.0
67568,I'm A FlirtR. Kelly Or Bow Wow (Featuring T.I. & T-Pain),67568.0,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),2007-07-14,0.0,53.0,12.0,66.0,I'm A Flirt,20.0
67595,LostFaith Hill,67595.0,Faith Hill,2007-07-14,0.0,61.0,61.0,93.0,Lost,2.0
67698,ImpactoDaddy Yankee Featuring Fergie,67698.0,Daddy Yankee Featuring Fergie,2007-07-07,0.0,88.0,56.0,96.0,Impacto,7.0
67699,Doomsday ClockThe Smashing Pumpkins,67699.0,The Smashing Pumpkins,2007-07-07,1.0,0.0,97.0,97.0,Doomsday Clock,1.0
67741,Last NightDiddy Featuring Keyshia Cole,67741.0,Diddy Featuring Keyshia Cole,2007-06-30,0.0,31.0,10.0,39.0,Last Night,22.0
67745,Cupid's Chokehold/Breakfast In AmericaGym Class Heroes Featuring Patrick Stump,67745.0,Gym Class Heroes Featuring Patrick Stump,2007-06-30,0.0,37.0,4.0,43.0,Cupid's Chokehold/Breakfast In America,24.0
67784,WastedCarrie Underwood,67784.0,Carrie Underwood,2007-06-30,0.0,76.0,37.0,82.0,Wasted,20.0
67788,You Give Love A Bad NameBlake Lewis,67788.0,Blake Lewis,2007-06-30,0.0,59.0,18.0,86.0,You Give Love A Bad Name,4.0
67847,The Way I LiveBaby Boy Da Prince Featuring Lil Boosie,67847.0,Baby Boy Da Prince Featuring Lil Boosie,2007-06-23,0.0,34.0,21.0,45.0,The Way I Live,26.0
67958,Beautiful FlowerIndia.Arie,67958.0,India.Arie,2007-06-16,1.0,0.0,56.0,56.0,Beautiful Flower,1.0
67976,Go GettaYoung Jeezy Featuring R. Kelly,67976.0,Young Jeezy Featuring R. Kelly,2007-06-16,0.0,64.0,18.0,74.0,Go Getta,20.0
