Unnamed: 0,acousticness,album,analysis_url,artist_levenshtein,artists,billboard_SongID,billboard_Unnamed: 0,billboard_artist,billboard_date,billboard_isNew,billboard_lastPos,billboard_peakPos,billboard_rank,billboard_title,billboard_weeks,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,popularity,preview_url,speechiness,tempo,time_signature,title_levenshtein,track_href,uri,valence
1499.0,0.196,24K Magic,https://api.spotify.com/v1/audio-analysis/0kN8xEmgMW9mh7UmDYHlJP,100.0,Bruno Mars,Versace On The FloorBruno Mars,14385.0,Bruno Mars,2017-09-30,0.0,71.0,33.0,83.0,Versace On The Floor,14.0,0.578,261240.0,0.574,0kN8xEmgMW9mh7UmDYHlJP,0.0,2.0,0.083,-6.209,1.0,Versace on the Floor,73.0,https://p.scdn.co/mp3-preview/734b5d7f9b5552bb2a886b042be24c9ca6be9c9f?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.0454,174.152,4.0,100.0,https://api.spotify.com/v1/tracks/0kN8xEmgMW9mh7UmDYHlJP,spotify:track:0kN8xEmgMW9mh7UmDYHlJP,0.301
1500.0,0.0184,Witness (Deluxe),https://api.spotify.com/v1/audio-analysis/3OtMnyUaiipcAT23A8liyi,96.0,"Katy Perry, Nicki Minaj",Swish SwishKaty Perry Featuring Nicki Minaj,14394.0,Katy Perry Featuring Nicki Minaj,2017-09-30,0.0,55.0,46.0,92.0,Swish Swish,10.0,0.838,242520.0,0.705,3OtMnyUaiipcAT23A8liyi,1.82e-05,5.0,0.102,-5.201,0.0,Swish Swish,70.0,,0.0449,119.953,4.0,100.0,https://api.spotify.com/v1/tracks/3OtMnyUaiipcAT23A8liyi,spotify:track:3OtMnyUaiipcAT23A8liyi,0.583
1501.0,0.0235,Luv Is Rage 2,https://api.spotify.com/v1/audio-analysis/1QgTBfRN5m81a5K01qens6,100.0,Lil Uzi Vert,444+222Lil Uzi Vert,14402.0,Lil Uzi Vert,2017-09-30,0.0,79.0,60.0,100.0,444+222,3.0,0.791,247347.0,0.513,1QgTBfRN5m81a5K01qens6,2.83e-05,10.0,0.101,-6.568,0.0,444+222,62.0,https://p.scdn.co/mp3-preview/413e7c7d62f9a8fff6167cfffec232cc1f491cec?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.269,76.997,4.0,100.0,https://api.spotify.com/v1/tracks/1QgTBfRN5m81a5K01qens6,spotify:track:1QgTBfRN5m81a5K01qens6,0.481
1502.0,0.0353,Dylan Scott (Deluxe Edition),https://api.spotify.com/v1/audio-analysis/3izNaTiYdotdPL0Bs76JqO,100.0,Dylan Scott,My GirlDylan Scott,14489.0,Dylan Scott,2017-09-23,0.0,88.0,39.0,87.0,My Girl,20.0,0.652,197640.0,0.719,3izNaTiYdotdPL0Bs76JqO,0.0,1.0,0.108,-7.251,1.0,My Girl,68.0,https://p.scdn.co/mp3-preview/184f41254eaefdec1222536acc257f1603bb2f20?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.033,94.969,4.0,100.0,https://api.spotify.com/v1/tracks/3izNaTiYdotdPL0Bs76JqO,spotify:track:3izNaTiYdotdPL0Bs76JqO,0.24
1503.0,0.0478,Most Girls,https://api.spotify.com/v1/audio-analysis/10GJQkjRJcZhGTLagFOC62,100.0,Hailee Steinfeld,Most GirlsHailee Steinfeld,14490.0,Hailee Steinfeld,2017-09-23,0.0,87.0,58.0,88.0,Most Girls,16.0,0.756,204400.0,0.572,10GJQkjRJcZhGTLagFOC62,0.0,9.0,0.0853,-7.019,1.0,Most Girls,75.0,,0.0763,102.986,4.0,100.0,https://api.spotify.com/v1/tracks/10GJQkjRJcZhGTLagFOC62,spotify:track:10GJQkjRJcZhGTLagFOC62,0.417
1504.0,0.222,Luv Is Rage 2,https://api.spotify.com/v1/audio-analysis/2ZdCrBA52bb4pIG3tOOZiQ,100.0,Lil Uzi Vert,Dark QueenLil Uzi Vert,14493.0,Lil Uzi Vert,2017-09-23,0.0,92.0,91.0,91.0,Dark Queen,2.0,0.747,173419.0,0.606,2ZdCrBA52bb4pIG3tOOZiQ,0.0,4.0,0.281,-5.286,1.0,Dark Queen,69.0,https://p.scdn.co/mp3-preview/f51933054640169a15eea5df714b25b7cb978c4d?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.172,155.055,4.0,100.0,https://api.spotify.com/v1/tracks/2ZdCrBA52bb4pIG3tOOZiQ,spotify:track:2ZdCrBA52bb4pIG3tOOZiQ,0.2
1505.0,0.0541,Luv Is Rage 2,https://api.spotify.com/v1/audio-analysis/1MJErNPIQUoEMu4YUUmecm,97.0,"Lil Uzi Vert, Pharrell Williams",Neon GutsLil Uzi Vert Featuring Pharrell Williams,14496.0,Lil Uzi Vert Featuring Pharrell Williams,2017-09-23,0.0,79.0,79.0,94.0,Neon Guts,2.0,0.859,258789.0,0.563,1MJErNPIQUoEMu4YUUmecm,0.0,1.0,0.0685,-6.635,0.0,Neon Guts (feat. Pharrell Williams),64.0,https://p.scdn.co/mp3-preview/b5b1c1bfdbced67d82292dd808b4f59bf53f60e5?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.112,119.934,4.0,95.0,https://api.spotify.com/v1/tracks/1MJErNPIQUoEMu4YUUmecm,spotify:track:1MJErNPIQUoEMu4YUUmecm,0.412
1506.0,0.782,17,https://api.spotify.com/v1/audio-analysis/5TXDeTFVRVY7Cvt0Dw4vWW,100.0,XXXTENTACION,RevengeXXXTENTACION,14498.0,XXXTENTACION,2017-09-23,0.0,77.0,77.0,96.0,Revenge,2.0,0.746,120027.0,0.251,5TXDeTFVRVY7Cvt0Dw4vWW,0.00203,11.0,0.106,-16.169,0.0,Revenge,76.0,https://p.scdn.co/mp3-preview/0cd99b6ca0f62d693aeabe85a0a649bca2c07dcc?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.259,139.999,4.0,100.0,https://api.spotify.com/v1/tracks/5TXDeTFVRVY7Cvt0Dw4vWW,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,0.18
1507.0,0.0353,Kinda Don't Care,https://api.spotify.com/v1/audio-analysis/3n2A6l4UayVe3GGKCvfQWV,100.0,Justin Moore,Somebody Else WillJustin Moore,14500.0,Justin Moore,2017-09-23,0.0,0.0,59.0,98.0,Somebody Else Will,13.0,0.488,165173.0,0.744,3n2A6l4UayVe3GGKCvfQWV,0.0,2.0,0.0952,-4.284,0.0,Somebody Else Will,58.0,,0.131,180.007,4.0,100.0,https://api.spotify.com/v1/tracks/3n2A6l4UayVe3GGKCvfQWV,spotify:track:3n2A6l4UayVe3GGKCvfQWV,0.59
1508.0,0.142,Starboy,https://api.spotify.com/v1/audio-analysis/37F0uwRSrdzkBiuj0D5UHI,100.0,The Weeknd,ReminderThe Weeknd,14501.0,The Weeknd,2017-09-23,0.0,0.0,31.0,99.0,Reminder,17.0,0.706,218880.0,0.505,37F0uwRSrdzkBiuj0D5UHI,0.0,8.0,0.164,-6.923,1.0,Reminder,72.0,,0.193,160.053,4.0,100.0,https://api.spotify.com/v1/tracks/37F0uwRSrdzkBiuj0D5UHI,spotify:track:37F0uwRSrdzkBiuj0D5UHI,0.388
